id,race,s,h_c
3,0,3,1
4,0,4,1
8,1,6,1
10,1,1,0
11,1,10,0
12,1,5,0
13,1,3,1
14,1,4,0
15,0,6,1
16,1,1,0
17,1,3,0
18,0,4,0
19,1,1,1
20,0,3,1
22,0,10,0
23,1,5,1
24,1,3,1
25,0,6,1
26,0,9,1
27,1,2,1
28,1,4,0
31,1,3,0
32,1,1,0
34,0,9,0
35,0,6,0
37,0,3,1
38,1,3,0
39,0,7,1
40,0,10,1
41,1,9,1
42,0,8,1
43,0,1,0
45,1,1,0
47,0,10,0
48,0,3,0
49,1,5,0
51,1,8,0
52,1,5,1
53,1,2,1
54,0,9,1
55,1,2,0
56,0,8,0
57,0,1,0
59,1,2,1
60,0,6,0
61,0,2,0
62,1,7,0
63,0,9,0
64,0,7,1
66,1,10,1
67,0,8,1
68,1,1,0
69,0,3,1
70,0,4,0
71,1,2,1
73,1,2,0
74,1,3,0
75,1,6,1
76,1,9,0
78,0,6,0
79,0,5,1
80,0,4,1
81,0,5,0
82,1,8,0
84,0,1,0
85,1,5,0
87,0,3,0
88,0,7,1
89,0,1,0
90,0,10,1
91,1,2,1
92,1,6,0
93,0,4,1
94,1,1,0
95,0,10,1
96,0,9,1
98,0,6,1
100,0,1,0
103,1,3,0
104,0,4,0
105,0,4,0
106,0,6,0
107,0,6,1
108,1,6,1
111,0,2,0
112,0,1,0
113,0,3,1
114,1,8,0
115,0,4,1
116,1,7,1
118,1,1,0
119,0,2,0
120,0,2,0
121,1,1,0
122,0,10,1
123,0,9,0
124,0,5,0
126,1,6,0
128,0,10,1
131,0,9,1
132,0,7,1
133,0,6,0
134,1,5,0
135,0,7,0
136,0,2,0
137,0,7,1
138,1,8,1
141,1,5,0
142,1,8,1
144,0,3,0
145,1,7,0
146,1,1,1
147,1,1,0
148,1,1,0
151,0,4,1
152,0,2,0
153,0,2,0
154,1,1,1
155,0,3,0
156,1,6,1
157,1,4,0
158,1,5,0
159,1,4,0
160,0,9,1
161,1,6,0
163,1,1,0
164,0,9,0
165,0,4,0
166,0,9,1
167,0,7,0
168,0,8,0
169,1,4,1
170,0,9,0
171,1,5,0
172,0,3,0
173,0,5,1
174,0,2,0
175,1,2,1
176,0,9,1
177,0,4,1
178,0,8,1
179,1,1,0
180,0,7,0
181,0,8,0
183,1,10,1
184,0,9,1
185,1,2,0
187,0,9,0
189,1,9,0
190,0,10,1
191,1,4,0
192,1,1,0
193,1,6,1
194,1,3,0
195,1,4,0
196,1,1,0
197,1,2,0
201,1,5,0
202,1,2,1
203,0,2,0
204,0,8,0
205,0,9,0
206,1,4,1
207,1,3,0
208,1,2,1
210,0,7,1
213,1,3,1
214,0,10,0
215,0,2,1
216,1,2,1
217,0,10,0
219,1,3,0
220,0,10,0
221,0,1,0
222,1,1,0
223,0,8,1
224,0,6,1
225,0,5,1
226,0,8,0
227,0,3,1
228,0,9,1
229,0,9,1
230,0,1,0
231,0,6,0
232,1,6,0
233,0,10,0
234,0,1,1
238,0,10,1
241,0,4,1
242,0,1,0
243,1,4,0
244,1,7,1
245,0,7,0
246,1,2,0
247,1,1,0
248,0,2,0
249,1,1,1
250,1,10,0
251,1,6,0
252,1,5,0
253,0,1,0
254,0,2,1
255,0,3,0
256,0,6,0
258,0,7,0
260,0,4,0
261,0,6,0
262,1,10,0
263,1,1,0
265,0,6,1
268,1,1,1
269,1,1,0
272,0,8,1
273,0,5,0
274,1,1,0
275,0,5,1
277,0,8,1
278,0,2,1
280,1,5,1
281,0,1,1
282,1,4,1
283,1,5,0
286,0,10,1
287,0,9,1
288,1,4,1
289,0,9,1
290,0,8,0
291,1,3,0
292,1,9,0
293,0,3,1
294,0,2,1
295,0,10,0
297,0,4,0
299,1,1,0
300,1,3,0
301,1,4,0
302,0,9,1
303,1,1,0
306,0,10,1
308,0,2,0
309,1,3,0
310,0,8,0
311,1,5,1
313,1,9,1
314,0,1,0
315,0,1,0
316,1,4,0
317,0,9,0
318,0,7,0
319,1,1,1
320,0,9,0
321,0,5,0
322,0,6,0
325,1,1,0
326,1,1,1
327,1,2,0
328,1,4,0
330,0,1,0
331,1,3,1
332,0,7,0
333,0,6,0
334,0,10,1
335,0,1,1
337,0,9,0
338,0,9,0
339,0,6,0
341,0,4,1
342,0,6,0
