id,race,s,h_c
12,1,5,0
15,0,6,1
18,0,4,0
19,1,1,1
31,1,3,0
41,1,9,1
47,0,10,0
54,0,9,1
60,0,6,0
80,0,4,1
88,0,7,1
95,0,10,1
104,0,4,0
114,1,8,0
118,1,1,0
128,0,10,1
137,0,7,1
145,1,7,0
152,0,2,0
159,1,4,0
168,0,8,0
170,0,9,0
171,1,5,0
174,0,2,0
175,1,2,1
178,0,8,1
187,0,9,0
220,0,10,0
231,0,6,0
234,0,1,1
244,1,7,1
245,0,7,0
248,0,2,0
250,1,10,0
262,1,10,0
265,0,6,1
291,1,3,0
293,0,3,1
295,0,10,0
311,1,5,1
316,1,4,0
322,0,6,0
325,1,1,0
334,0,10,1
337,0,9,0
338,0,9,0
341,0,4,1
350,0,9,1
351,1,5,0
352,1,2,0
358,1,2,1
367,0,8,0
368,0,5,0
370,1,2,0
374,1,7,1
377,1,7,1
385,0,8,1
390,0,4,0
391,0,10,0
397,0,8,0
399,0,1,0
411,0,3,0
412,1,8,0
415,0,7,0
428,1,4,0
434,0,5,1
439,0,1,0
440,0,3,1
442,1,3,1
448,0,8,0
466,0,5,0
474,1,1,0
478,0,9,0
480,0,9,1
481,1,1,0
482,0,8,0
484,1,5,0
495,0,7,0
496,1,4,1
512,0,6,0
515,0,2,0
527,1,1,0
532,1,4,0
534,0,7,0
538,0,4,1
540,1,1,0
547,1,4,0
555,0,1,0
557,0,9,1
562,1,2,0
576,0,8,1
585,0,7,0
590,1,8,1
598,0,9,1
599,1,3,0
601,1,10,1
607,1,1,0
619,0,8,0
623,1,1,0
624,0,7,0
627,0,6,0
636,0,5,0
637,1,5,1
638,0,6,1
644,0,7,1
660,1,1,0
676,1,6,0
682,0,8,0
689,0,8,0
691,0,6,1
693,1,5,1
698,1,2,0
710,1,1,0
715,1,5,1
726,1,6,1
729,1,1,1
735,1,3,0
737,1,9,1
742,1,9,0
744,0,7,0
754,0,4,1
760,0,7,1
765,0,6,1
784,1,6,0
790,0,4,0
798,1,7,1
799,1,1,0
800,0,8,1
806,1,2,0
812,0,2,0
813,0,4,1
819,0,3,0
822,1,10,0
841,1,2,0
843,0,5,0
846,0,7,0
849,0,3,1
856,1,6,0
857,0,8,1
861,1,4,1
867,0,4,1
875,0,3,0
877,0,7,0
883,1,6,1
886,1,1,0
887,0,6,1
892,1,7,0
907,0,7,0
910,0,4,0
915,0,5,1
926,0,7,1
934,0,5,1
935,1,1,0
939,0,1,0
942,1,3,0
943,1,2,1
946,0,3,1
954,0,6,0
955,0,6,1
963,1,5,0
970,0,6,0
972,0,1,0
979,1,10,1
981,1,1,0
991,0,7,0
997,0,2,1
999,1,1,1
1001,0,9,0
1002,0,7,0
1003,0,9,1
1017,1,5,0
1019,0,4,0
1023,1,3,0
1027,0,9,0
1040,0,1,0
1045,0,8,0
1054,0,10,0
1055,0,8,1
1064,1,1,0
1065,0,8,1
1068,1,3,1
1070,0,6,0
1074,0,8,0
1077,0,5,1
1082,0,8,1
1095,0,9,0
1100,0,10,0
1108,0,6,0
1121,0,2,0
1127,0,2,0
1131,0,10,1
1135,1,3,0
1139,0,5,0
1140,0,1,0
1141,0,9,0
1142,0,5,0
1147,0,3,0
1148,0,3,0
1161,0,8,0
1173,0,6,1
1176,1,2,0
1179,0,2,0
1188,0,4,0
1192,0,6,0
1198,1,3,0
1212,0,5,1
1214,0,8,0
1216,1,6,0
1219,0,2,0
1229,0,6,0
1236,1,4,0
1244,1,4,0
1256,0,10,1
1258,0,8,1
1261,0,2,0
1264,0,9,0
1267,0,3,0
1269,0,4,0
1272,0,5,1
1280,1,7,1
1305,0,8,0
1314,0,8,1
1316,1,1,0
1324,1,2,0
1331,0,10,1
1338,0,6,0
1344,0,2,0
1348,0,5,0
1351,0,7,1
1370,1,1,0
1372,1,2,0
1382,0,2,0
1397,0,9,0
1399,1,3,0
1403,0,10,1
1407,0,9,0
1413,0,7,0
1417,0,6,0
1427,0,9,1
1436,0,7,1
1445,0,7,1
1451,1,7,0
1454,0,10,0
1457,0,3,0
1458,1,3,0
1463,0,8,1
1465,0,3,0
1470,0,5,1
1471,1,5,1
1484,1,9,1
1487,0,3,0
1493,1,6,0
1502,1,2,0
1513,0,5,1
1517,0,3,1
1525,0,2,0
1544,1,6,0
1545,0,5,0
1561,0,1,0
1566,0,3,0
1581,1,4,0
1586,1,6,0
1591,1,1,0
