h,race
0.0,1
0.0,0
0.0,0
0.0,1
0.0,1
0.8305,1
0.94,0
0.8634999999999999,0
0.0,0
0.0,0
0.6805,0
0.9605,0
0.0,0
0.746,1
0.0,1
0.954,0
0.7,0
0.6545,1
0.0,0
0.0,1
0.763,0
0.8535,0
0.0,1
0.0,0
0.0,1
0.8135,0
0.85,0
0.953,0
0.0,0
0.0,0
0.653,1
0.692,0
0.0,0
0.9255,1
0.9265,1
0.0,0
0.0,1
0.0,0
0.9390000000000001,0
0.0,1
0.0,1
0.0,0
0.0,1
0.957,0
0.8475,0
0.848,0
0.0,0
0.852,0
0.0,1
0.0,1
0.0,1
0.7929999999999999,0
0.0,0
0.0,1
0.6559999999999999,1
0.6699999999999999,1
0.815,0
0.0,0
0.9385,0
0.7735,0
0.0,0
0.0,0
0.744,1
0.7415,0
0.0,1
0.0,0
0.0,0
0.0,0
0.0,1
0.7765,0
0.0,0
0.0,1
0.854,0
0.8545,0
0.0,1
0.817,0
0.0,1
0.738,0
0.0,1
0.0,0
0.0,0
0.0,1
0.0,1
0.7030000000000001,0
0.0,0
0.0,1
0.0,1
0.0,0
0.8594999999999999,0
0.0,1
0.8065,0
0.6819999999999999,0
0.755,1
0.8585,0
0.0,1
0.933,1
0.0,1
0.829,0
0.0,1
0.7110000000000001,0
0.0,0
0.0,0
0.0,1
0.6415,0
0.739,0
0.0,1
0.0,1
0.764,0
0.813,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.8335,1
0.83,1
0.7215,0
0.0,0
0.708,0
0.0,0
0.0,1
0.0,0
0.6659999999999999,1
0.0,1
0.8025,0
0.0,1
0.0,0
0.0,0
0.0,0
0.9359999999999999,1
0.0,1
0.0,0
0.6799999999999999,0
0.0,0
0.0,1
0.7915,0
0.0,1
0.0,0
0.0,0
0.7055,0
0.0,1
0.0,1
0.0,0
0.6519999999999999,1
0.685,0
0.0,0
0.0,0
0.735,0
0.0,0
0.0,1
0.0,0
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.9279999999999999,1
0.0,1
0.718,0
0.0,0
0.0,1
0.8485,0
0.717,0
0.8555,0
0.0,1
0.0,0
0.0,1
0.853,0
0.0,0
0.777,0
0.9715,0
0.7775,0
0.0,1
0.778,0
0.0,1
0.0,0
0.78,0
0.0,0
0.782,0
0.86,0
0.977,0
0.0,0
0.0,0
0.0,0
0.9795,0
0.0,1
0.0,0
0.0,0
0.859,0
0.0,0
0.0,0
0.0,0
0.7655,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.7685,0
0.0,1
0.0,0
0.0,0
0.0,1
0.0,1
0.961,0
0.773,0
0.0,0
0.906,0
0.0,0
0.0,0
0.0,0
0.6615,1
0.7695,0
0.769,0
0.0,1
0.0,1
0.9725,0
0.0,0
0.0,0
0.0,0
0.725,0
0.0,1
0.0,1
0.0,0
0.91,0
0.0,1
0.9735,0
0.9105,0
0.737,0
0.0,0
0.912,0
0.7395,0
0.7355,0
0.6655,1
0.9755,0
0.0,0
0.0,1
0.7855,0
0.0,0
0.0,0
0.0,1
0.8455,1
0.0,0
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.6755,0
0.9785,0
0.8445,1
0.9319999999999999,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,1
0.843,1
0.0,0
0.0,1
0.69,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,1
0.7315,0
0.0,1
0.0,1
0.7364999999999999,0
0.0,1
0.6579999999999999,1
0.0,1
0.0,1
0.0,1
0.903,0
0.0,0
0.0,0
0.0,1
0.9295,1
0.0,1
0.0,0
0.0,1
0.0,0
0.966,0
0.9135,0
0.0,0
0.962,0
0.0,1
0.0,1
0.0,1
0.0,1
0.8155,0
0.0,1
0.0,0
0.9625,0
0.0,1
0.0,1
0.0,1
0.7090000000000001,0
0.0,1
0.0,0
0.0,1
0.0,0
0.712,0
0.0,1
0.0,1
0.963,0
0.756,1
0.9635,0
0.0,1
0.0,1
0.0,0
0.9185,0
0.6859999999999999,0
0.0,0
0.0,0
0.0,0
0.0,1
0.8200000000000001,0
0.6975,0
0.0,0
0.0,0
0.964,0
0.0,0
0.0,0
0.0,1
0.0,0
0.9645,0
0.6525,1
0.0,0
0.0,1
0.7645,0
0.965,0
0.6945,0
0.0,0
0.8265,0
0.0,0
0.9145,0
0.0,1
0.0,0
0.92,0
0.0,0
0.0,0
0.0,0
0.0,1
0.786,0
0.0,0
0.8235,0
0.0,1
0.922,0
0.0,0
0.0,1
0.921,0
0.0,1
0.0,1
0.0,0
0.0,0
0.0,1
0.0,0
0.7505,1
0.7495,1
0.894,0
0.0,1
0.0,1
0.796,0
0.0,0
0.647,1
0.0,1
0.0,0
0.6765,0
0.6759999999999999,0
0.0,0
0.7945,0
0.0,1
0.876,0
0.0,0
0.0,1
0.0,1
0.6735,0
0.0,1
0.0,1
0.0,1
0.7484999999999999,1
0.0,1
0.9895,0
0.0,1
0.651,1
0.0,1
0.981,0
0.0,0
0.0,0
0.6815,0
0.9915,0
0.88,0
0.0,0
0.0,1
0.8045,0
0.881,0
0.0,0
0.8029999999999999,0
0.0,1
0.0,1
0.0,0
0.7284999999999999,0
0.0,0
0.0,1
0.8355,1
0.882,0
0.6695,1
0.8725,0
0.0,1
0.0,1
0.0,1
0.6719999999999999,1
0.6715,1
0.9935,0
0.0,1
0.7989999999999999,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.7375,0
0.665,1
0.6605,1
0.0,0
0.7925,0
0.6599999999999999,1
0.0,1
0.0,1
0.8685,0
0.0,0
0.0,1
0.0,1
0.997,0
0.0,1
0.8245,0
0.0,1
0.0,0
0.0,1
0.0,0
0.6645,1
0.0,1
0.0,0
0.8105,0
0.0,0
0.8694999999999999,0
0.0,0
0.721,0
0.0,0
0.0,1
0.0,1
0.0,1
0.8165,0
0.6625,1
0.0,0
0.0,1
0.872,0
0.0,1
0.994,0
0.7095,0
0.0,0
0.0,0
0.0,1
0.0,1
0.0,0
0.8825,0
0.0,0
0.0,1
0.0,0
0.883,0
0.8835,0
0.0,1
0.0,0
0.0,0
0.99,0
0.0,1
0.0,1
0.8645,0
0.0,0
0.0,0
0.677,0
0.0,0
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.982,0
0.0,1
0.0,1
0.0,0
0.983,0
0.0,0
0.8415,1
0.7969999999999999,0
0.9325,1
0.0,1
0.641,0
0.0,0
0.0,1
0.0,0
0.812,0
0.0,1
0.0,1
0.827,0
0.0,0
0.0,0
0.0,1
0.0,0
0.8955,0
0.0,0
0.0,1
0.0,1
0.0,1
0.7555000000000001,1
0.0,1
0.0,1
0.7335,0
0.7304999999999999,0
0.804,0
0.0,0
0.0,1
0.0,0
0.681,0
0.8915,0
0.891,0
0.0,0
0.787,0
0.749,1
0.0,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.7955,0
0.0,0
0.0,0
0.0,1
0.0,1
0.0,0
0.7015,0
0.0,1
0.9845,0
0.8845,0
0.0,1
0.0,0
0.9345,1
0.0,1
0.0,1
0.0,0
0.9855,0
0.706,0
0.823,0
0.0,1
0.986,0
0.0,0
0.76,1
0.6925,0
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.6535,1
0.0,1
0.6950000000000001,0
0.0,0
0.0,0
0.0,1
0.64,0
0.0,1
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,0
0.6395,0
0.8885,0
0.8375,1
0.0,0
0.9615,0
0.0,0
0.0,1
0.0,0
0.0,1
0.7235,0
0.0,1
0.0,1
0.8895,0
0.0,1
0.0,1
0.0,1
0.0,1
0.726,0
0.637,0
0.0,1
0.742,1
0.0,1
0.0,0
0.636,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.9445,0
0.0,1
0.0,1
0.783,0
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.8365,1
0.0,0
0.0,1
0.0,0
0.785,0
0.0,1
0.0,1
0.0,1
0.671,1
0.9435,0
0.7144999999999999,0
0.0,0
0.0,1
0.0,0
0.7705,0
0.0,0
0.7444999999999999,1
0.0,0
0.0,1
0.0,1
0.0,0
0.0,1
0.0,1
0.945,0
0.9405,0
0.0,1
0.8855,0
0.0,0
0.766,0
0.0,1
0.0,0
0.0,1
0.0,1
0.0,1
0.0,1
0.7475,1
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,1
0.0,1
0.8935,0
0.0,1
0.892,0
0.0,0
0.6955,0
0.683,0
0.0,1
0.9495,0
0.0,1
0.949,0
0.8035,0
0.0,0
0.7175,0
0.0,0
0.0,0
0.0,1
0.7905,0
0.9485,0
0.8665,0
0.0,0
0.9455,0
0.8255,0
0.0,0
0.0,1
0.9465,0
0.0,0
0.0,1
0.834,1
0.0,0
0.8654999999999999,0
0.0,1
0.865,0
0.0,0
0.0,0
0.8125,0
0.0,1
0.0,1
0.0,1
0.835,1
0.958,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.798,0
0.7384999999999999,0
0.7525,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.6845,0
0.7865,0
0.6775,0
0.8215,0
0.0,1
0.8755,0
0.0,0
0.0,0
0.0,0
0.0,1
0.7595000000000001,1
0.0,0
0.943,0
0.941,0
0.0,1
0.0,0
0.9165,0
0.759,1
0.0,1
0.0,0
0.0,1
0.0,0
0.917,0
0.0,0
0.8115,0
0.847,1
0.947,0
0.7224999999999999,0
0.0,1
0.0,0
0.0,0
0.9275,1
0.0,0
0.0,0
0.909,0
0.0,1
0.0,0
0.714,0
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.7615,0
0.7745,0
0.776,0
0.0,1
0.9545,0
0.0,0
0.0,0
0.0,0
0.7825,0
0.0,1
0.0,0
0.9585,0
0.0,0
0.0,1
0.0,0
0.959,0
0.0,1
0.7204999999999999,0
0.9055,0
0.0,1
0.73,0
0.774,0
0.9395,0
0.913,0
0.0,1
0.0,1
0.77,0
0.0,0
0.864,0
0.6475,1
0.0,0
0.0,1
0.772,0
0.0,1
0.9075,0
0.845,1
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.925,1
0.0,0
0.0,1
0.938,0
0.0,0
0.0,1
0.9365,0
0.0,0
0.0,1
0.96,0
0.657,1
0.0,1
0.0,1
0.0,1
0.0,1
0.687,0
0.0,0
0.9555,0
0.0,0
0.0,0
0.0,0
0.899,0
0.0,0
0.7805,0
0.952,0
0.7050000000000001,0
0.8435,1
0.9475,0
0.6895,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,1
0.6875,0
0.648,1
0.0,0
0.0,0
0.904,0
0.0,0
0.6585,1
0.0,1
0.0,1
0.0,0
0.0,1
0.0,0
0.762,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,0
0.9195,0
0.0,1
0.0,0
0.0,0
0.8095,0
0.6839999999999999,0
0.0,1
0.0,1
0.0,1
0.9155,0
0.0,0
0.924,1
0.0,1
0.0,1
0.0,0
