h_c,famous,top,s
1.0,0.0,0.0,6.0
0.0,0.0,0.0,3.333333333333333
1.0,0.0,1.0,6.0
0.0,0.0,0.0,5.666666666666668
1.0,0.0,1.0,5.0
0.0,0.0,1.0,4.25
0.0,0.0,0.0,4.0
0.0,1.0,1.0,5.0
1.0,0.0,1.0,6.333333333333332
0.0,0.0,0.0,6.666666666666668
1.0,0.0,1.0,6.666666666666668
1.0,0.0,1.0,7.333333333333332
0.0,0.0,0.0,2.333333333333333
0.0,1.0,0.0,4.0
1.0,0.0,0.0,6.666666666666668
0.0,0.0,0.0,5.0
1.0,1.0,1.0,6.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,4.0
1.0,0.0,0.0,6.666666666666668
0.0,0.0,0.0,3.25
0.0,0.0,1.0,2.333333333333333
0.0,0.0,1.0,4.0
0.0,0.0,0.0,2.333333333333333
0.0,0.0,0.0,4.0
1.0,0.0,0.0,6.666666666666668
0.0,0.0,0.0,2.333333333333333
1.0,0.0,0.0,6.0
1.0,0.0,0.0,7.333333333333332
0.0,0.0,0.0,2.6666666666666665
1.0,1.0,0.0,7.333333333333332
1.0,0.0,0.0,4.666666666666667
0.0,0.0,0.0,3.5
0.0,0.0,0.0,1.6666666666666667
1.0,0.0,0.0,6.0
0.0,1.0,0.0,6.0
1.0,0.0,1.0,5.0
1.0,0.0,0.0,6.666666666666668
0.0,0.0,0.0,3.333333333333333
0.0,0.0,0.0,3.333333333333333
1.0,0.0,0.0,5.0
1.0,0.0,0.0,5.0
0.0,1.0,0.0,4.0
0.0,0.0,0.0,3.0
1.0,0.0,0.0,5.0
0.0,0.0,1.0,4.0
1.0,0.0,1.0,6.0
0.0,0.0,0.0,3.333333333333333
0.0,0.0,0.0,3.333333333333333
0.0,0.0,0.0,1.0
0.0,0.0,0.0,4.666666666666667
0.0,0.0,1.0,4.0
0.0,1.0,0.0,4.0
1.0,0.0,0.0,6.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
1.0,0.0,1.0,6.0
0.0,0.0,0.0,2.333333333333333
1.0,0.0,1.0,6.666666666666668
0.0,0.0,0.0,2.333333333333333
1.0,0.0,0.0,6.666666666666668
0.0,0.0,0.0,5.666666666666668
0.0,0.0,1.0,4.0
0.0,0.0,0.0,5.0
0.0,0.0,1.0,5.0
0.0,0.0,0.0,4.0
0.0,0.0,1.0,4.0
0.0,0.0,0.0,5.666666666666668
0.0,0.0,1.0,2.333333333333333
1.0,0.0,0.0,6.666666666666668
0.0,0.0,1.0,4.0
0.0,0.0,0.0,5.0
0.0,0.0,1.0,3.0
0.0,0.0,1.0,5.0
0.0,0.0,0.0,4.0
0.0,0.0,1.0,3.0
0.0,0.0,0.0,3.333333333333333
0.0,0.0,1.0,4.666666666666667
1.0,0.0,0.0,6.666666666666668
0.0,0.0,0.0,4.0
0.0,0.0,1.0,4.0
1.0,0.0,0.0,5.0
1.0,0.0,1.0,6.0
1.0,0.0,0.0,5.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,2.0
0.0,1.0,1.0,3.333333333333333
0.0,1.0,0.0,3.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,5.75
1.0,0.0,1.0,8.0
1.0,1.0,0.0,6.0
1.0,0.0,0.0,7.333333333333332
1.0,0.0,0.0,6.666666666666668
1.0,0.0,1.0,7.333333333333332
0.0,0.0,0.0,3.333333333333333
1.0,1.0,1.0,8.0
1.0,0.0,0.0,6.0
0.0,0.0,0.0,4.0
0.0,0.0,0.0,3.75
1.0,0.0,1.0,5.75
0.0,0.0,0.0,5.666666666666668
1.0,0.0,0.0,7.333333333333332
1.0,0.0,1.0,6.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,6.666666666666668
1.0,0.0,0.0,6.666666666666668
0.0,0.0,0.0,2.333333333333333
0.0,0.0,1.0,4.0
0.0,0.0,1.0,4.0
0.0,1.0,1.0,2.333333333333333
1.0,0.0,1.0,6.666666666666668
0.0,0.0,0.0,2.333333333333333
0.0,1.0,1.0,3.333333333333333
0.0,0.0,0.0,3.333333333333333
1.0,0.0,1.0,7.333333333333332
0.0,0.0,0.0,3.0
0.0,0.0,0.0,4.0
1.0,1.0,1.0,5.0
1.0,0.0,1.0,6.0
0.0,1.0,1.0,4.0
1.0,0.0,1.0,6.666666666666668
1.0,0.0,0.0,6.0
1.0,0.0,0.0,6.666666666666668
0.0,0.0,0.0,4.0
1.0,0.0,0.0,7.333333333333332
1.0,0.0,0.0,6.666666666666668
1.0,0.0,0.0,5.0
1.0,0.0,0.0,7.0
0.0,0.0,0.0,4.0
0.0,0.0,0.0,2.333333333333333
0.0,1.0,0.0,5.0
0.0,0.0,1.0,4.0
1.0,0.0,0.0,6.0
0.0,0.0,0.0,3.0
1.0,1.0,0.0,6.666666666666668
1.0,0.0,0.0,6.666666666666668
0.0,0.0,1.0,4.666666666666667
1.0,0.0,1.0,8.0
0.0,0.0,0.0,5.666666666666668
1.0,0.0,0.0,7.333333333333332
0.0,0.0,0.0,3.0
1.0,0.0,0.0,7.333333333333332
1.0,0.0,0.0,5.0
1.0,0.0,0.0,6.333333333333332
0.0,0.0,0.0,3.333333333333333
0.0,0.0,0.0,3.25
0.0,0.0,1.0,4.0
0.0,0.0,0.0,4.0
0.0,0.0,0.0,2.333333333333333
0.0,0.0,0.0,1.0
0.0,0.0,0.0,4.666666666666667
0.0,0.0,0.0,1.0
1.0,0.0,0.0,6.666666666666668
0.0,0.0,1.0,3.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,6.333333333333332
0.0,0.0,1.0,2.6666666666666665
0.0,0.0,0.0,6.0
0.0,0.0,0.0,4.0
1.0,0.0,1.0,6.666666666666668
0.0,0.0,1.0,2.333333333333333
0.0,0.0,0.0,3.333333333333333
0.0,0.0,1.0,3.0
0.0,1.0,1.0,6.0
1.0,0.0,0.0,7.333333333333332
0.0,1.0,1.0,3.0
0.0,0.0,0.0,2.333333333333333
0.0,0.0,1.0,5.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,5.666666666666668
0.0,0.0,0.0,5.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,7.333333333333332
0.0,0.0,0.0,3.333333333333333
0.0,0.0,0.0,6.0
0.0,0.0,0.0,2.333333333333333
0.0,0.0,0.0,4.333333333333333
1.0,0.0,0.0,6.666666666666668
1.0,0.0,0.0,6.0
0.0,1.0,1.0,4.0
0.0,0.0,0.0,4.0
0.0,0.0,0.0,6.333333333333332
0.0,0.0,0.0,4.5
0.0,1.0,1.0,1.6666666666666667
0.0,0.0,1.0,2.333333333333333
1.0,0.0,0.0,6.666666666666668
0.0,0.0,0.0,2.333333333333333
0.0,0.0,0.0,6.0
0.0,0.0,0.0,4.333333333333333
0.0,0.0,0.0,4.666666666666667
1.0,0.0,0.0,6.0
0.0,0.0,1.0,4.0
0.0,0.0,1.0,6.0
0.0,1.0,1.0,3.0
1.0,0.0,0.0,6.666666666666668
1.0,0.0,0.0,5.0
0.0,1.0,0.0,4.333333333333333
0.0,0.0,1.0,5.0
0.0,0.0,1.0,4.0
0.0,0.0,1.0,2.0
0.0,0.0,0.0,4.0
1.0,0.0,1.0,6.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,2.333333333333333
1.0,0.0,0.0,6.666666666666668
0.0,0.0,0.0,4.0
1.0,0.0,1.0,6.0
0.0,0.0,0.0,1.6666666666666667
0.0,0.0,0.0,5.0
0.0,0.0,1.0,4.0
0.0,0.0,0.0,3.0
0.0,0.0,1.0,2.333333333333333
0.0,0.0,1.0,4.0
0.0,0.0,1.0,3.0
0.0,0.0,0.0,5.0
0.0,0.0,1.0,3.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,2.0
1.0,0.0,0.0,7.333333333333332
0.0,0.0,1.0,4.0
0.0,0.0,0.0,3.0
1.0,0.0,0.0,6.666666666666668
0.0,0.0,1.0,1.6666666666666667
0.0,0.0,0.0,2.333333333333333
0.0,0.0,0.0,4.333333333333333
0.0,0.0,0.0,5.0
0.0,0.0,1.0,4.0
0.0,0.0,0.0,4.0
1.0,0.0,0.0,6.666666666666668
1.0,0.0,0.0,6.0
0.0,0.0,0.0,4.333333333333333
0.0,0.0,0.0,4.5
0.0,0.0,0.0,4.0
0.0,0.0,0.0,4.0
1.0,1.0,1.0,5.5
0.0,0.0,1.0,1.6666666666666667
0.0,0.0,0.0,3.333333333333333
0.0,0.0,0.0,3.333333333333333
1.0,0.0,0.0,6.0
0.0,0.0,1.0,1.6666666666666667
1.0,0.0,0.0,5.666666666666668
1.0,0.0,0.0,6.25
1.0,0.0,1.0,6.0
0.0,0.0,0.0,6.666666666666668
0.0,0.0,0.0,5.0
1.0,0.0,1.0,5.666666666666668
0.0,1.0,1.0,4.666666666666667
0.0,0.0,0.0,4.0
1.0,0.0,0.0,6.333333333333332
0.0,0.0,0.0,4.333333333333333
0.0,0.0,0.0,3.0
0.0,1.0,0.0,5.0
0.0,0.0,0.0,4.0
0.0,0.0,0.0,3.0
1.0,0.0,0.0,7.333333333333332
0.0,0.0,0.0,3.0
1.0,0.0,0.0,5.25
0.0,0.0,0.0,5.666666666666668
0.0,1.0,0.0,5.0
0.0,0.0,0.0,4.0
1.0,1.0,0.0,6.0
0.0,0.0,0.0,3.333333333333333
0.0,0.0,1.0,4.0
1.0,0.0,0.0,5.666666666666668
0.0,0.0,0.0,1.6666666666666667
0.0,0.0,0.0,5.0
0.0,0.0,1.0,1.0
1.0,0.0,0.0,6.0
0.0,0.0,0.0,4.0
1.0,0.0,0.0,5.666666666666668
0.0,0.0,0.0,2.333333333333333
0.0,0.0,0.0,2.333333333333333
0.0,0.0,1.0,4.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,6.333333333333332
1.0,0.0,0.0,6.0
0.0,1.0,0.0,3.0
0.0,0.0,0.0,5.666666666666668
0.0,0.0,0.0,5.0
0.0,0.0,0.0,3.333333333333333
