id,race,s,h_c
3,1,3,1
4,1,4,1
8,0,6,1
10,0,1,0
11,0,10,0
12,0,5,0
13,0,3,1
14,0,4,0
15,1,6,1
16,0,1,0
17,0,3,0
18,1,4,0
19,0,1,1
20,1,3,1
22,1,10,0
23,0,5,1
24,0,3,1
25,1,6,1
26,1,9,1
27,0,2,1
28,0,4,0
31,0,3,0
32,0,1,0
34,1,9,0
35,1,6,0
37,1,3,1
38,0,3,0
39,1,7,1
40,1,10,1
41,0,9,1
42,1,8,1
43,1,1,0
45,0,1,0
47,1,10,0
48,1,3,0
49,0,5,0
51,0,8,0
52,0,5,1
53,0,2,1
54,1,9,1
55,0,2,0
56,1,8,0
57,1,1,0
59,0,2,1
60,1,6,0
61,1,2,0
62,0,7,0
63,1,9,0
64,1,7,1
66,0,10,1
67,1,8,1
68,0,1,0
69,1,3,1
70,1,4,0
71,0,2,1
73,0,2,0
74,0,3,0
75,0,6,1
76,0,9,0
78,1,6,0
79,1,5,1
80,1,4,1
81,1,5,0
82,0,8,0
84,1,1,0
85,0,5,0
87,1,3,0
88,1,7,1
89,1,1,0
90,1,10,1
91,0,2,1
92,0,6,0
93,1,4,1
94,0,1,0
95,1,10,1
96,1,9,1
98,1,6,1
100,1,1,0
103,0,3,0
104,1,4,0
105,1,4,0
106,1,6,0
107,1,6,1
108,0,6,1
111,1,2,0
112,1,1,0
113,1,3,1
114,0,8,0
115,1,4,1
116,0,7,1
118,0,1,0
119,1,2,0
120,1,2,0
121,0,1,0
122,1,10,1
123,1,9,0
124,1,5,0
126,0,6,0
128,1,10,1
131,1,9,1
132,1,7,1
133,1,6,0
134,0,5,0
135,1,7,0
136,1,2,0
137,1,7,1
138,0,8,1
141,0,5,0
142,0,8,1
144,1,3,0
145,0,7,0
146,0,1,1
147,0,1,0
148,0,1,0
151,1,4,1
152,1,2,0
153,1,2,0
154,0,1,1
155,1,3,0
156,0,6,1
157,0,4,0
158,0,5,0
159,0,4,0
160,1,9,1
161,0,6,0
163,0,1,0
164,1,9,0
165,1,4,0
166,1,9,1
167,1,7,0
168,1,8,0
169,0,4,1
170,1,9,0
171,0,5,0
172,1,3,0
173,1,5,1
174,1,2,0
175,0,2,1
176,1,9,1
177,1,4,1
178,1,8,1
179,0,1,0
180,1,7,0
181,1,8,0
183,0,10,1
184,1,9,1
185,0,2,0
187,1,9,0
189,0,9,0
190,1,10,1
191,0,4,0
192,0,1,0
193,0,6,1
194,0,3,0
195,0,4,0
196,0,1,0
197,0,2,0
201,0,5,0
202,0,2,1
203,1,2,0
204,1,8,0
205,1,9,0
206,0,4,1
207,0,3,0
208,0,2,1
210,1,7,1
213,0,3,1
214,1,10,0
215,1,2,1
216,0,2,1
217,1,10,0
219,0,3,0
220,1,10,0
221,1,1,0
222,0,1,0
223,1,8,1
224,1,6,1
225,1,5,1
226,1,8,0
227,1,3,1
228,1,9,1
229,1,9,1
230,1,1,0
231,1,6,0
232,0,6,0
233,1,10,0
234,1,1,1
238,1,10,1
241,1,4,1
242,1,1,0
243,0,4,0
244,0,7,1
245,1,7,0
246,0,2,0
247,0,1,0
248,1,2,0
249,0,1,1
250,0,10,0
251,0,6,0
252,0,5,0
253,1,1,0
254,1,2,1
255,1,3,0
256,1,6,0
258,1,7,0
260,1,4,0
261,1,6,0
262,0,10,0
263,0,1,0
265,1,6,1
268,0,1,1
269,0,1,0
272,1,8,1
273,1,5,0
274,0,1,0
275,1,5,1
277,1,8,1
278,1,2,1
280,0,5,1
281,1,1,1
282,0,4,1
283,0,5,0
286,1,10,1
287,1,9,1
288,0,4,1
289,1,9,1
290,1,8,0
291,0,3,0
292,0,9,0
293,1,3,1
294,1,2,1
295,1,10,0
297,1,4,0
299,0,1,0
300,0,3,0
301,0,4,0
302,1,9,1
303,0,1,0
306,1,10,1
308,1,2,0
309,0,3,0
310,1,8,0
311,0,5,1
313,0,9,1
314,1,1,0
315,1,1,0
316,0,4,0
317,1,9,0
318,1,7,0
319,0,1,1
320,1,9,0
321,1,5,0
322,1,6,0
325,0,1,0
326,0,1,1
327,0,2,0
328,0,4,0
330,1,1,0
331,0,3,1
332,1,7,0
333,1,6,0
334,1,10,1
335,1,1,1
337,1,9,0
338,1,9,0
339,1,6,0
341,1,4,1
342,1,6,0
344,1,1,0
345,0,1,0
347,0,4,1
348,1,4,0
349,0,1,0
350,1,9,1
351,0,5,0
352,0,2,0
353,1,2,0
354,1,4,0
355,1,2,0
357,0,8,1
358,0,2,1
359,1,9,0
360,1,8,0
361,0,1,0
362,1,8,1
363,0,5,1
364,1,3,0
366,0,8,1
367,1,8,0
368,1,5,0
370,0,2,0
371,0,5,0
374,0,7,1
375,0,2,0
376,1,9,1
377,0,7,1
378,1,2,1
380,1,1,0
382,0,5,1
384,1,3,0
385,1,8,1
386,1,6,1
387,0,2,0
388,1,4,0
390,1,4,0
391,1,10,0
392,0,4,1
393,1,1,0
394,0,2,0
395,1,8,0
396,1,8,0
397,1,8,0
399,1,1,0
400,1,4,1
401,1,7,0
402,1,2,0
404,0,5,0
405,0,6,1
406,1,7,1
407,1,10,1
408,0,3,0
410,0,4,0
411,1,3,0
412,0,8,0
413,1,1,0
415,1,7,0
416,1,6,1
417,1,1,0
418,1,1,0
421,0,1,0
422,1,4,0
423,0,1,0
424,1,4,1
425,0,1,0
426,0,2,1
427,0,7,0
428,0,4,0
429,1,9,1
430,1,8,1
432,0,4,0
433,0,8,0
434,1,5,1
