Married,Age,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HistoryOfOverduePayments,h_c,s
1,0,1,5280,250,0,2,0,5280,250,0,0,0,0,0.11912367665965094
1,0,1,50,90,2,6,0,0,0,1,4,1,1,0.3768835280431755
1,0,1,1240,110,0,0,0,1120,110,1,15,1,1,0.6871832382729911
0,0,3,690,120,0,6,0,640,0,2,5,1,0,0.5681716382321367
1,0,1,2990,390,0,0,0,2840,140,1,2,1,0,0.32802405507376214
0,0,2,2110,120,0,0,0,2110,80,0,0,0,0,0.11929784991456802
0,1,2,610,90,0,0,6,520,90,0,0,0,0,0.133902102538157
0,0,2,70,70,2,6,0,30,30,0,0,0,0,0.11182961401250331
0,0,2,560,120,0,6,0,510,40,0,0,0,0,0.12736517328481858
0,1,1,400,80,0,0,0,250,40,0,0,0,1,0.10710013911424769
0,0,3,6760,3050,0,0,0,6470,300,0,0,0,0,0.1010616379483447
1,0,1,20,10,0,6,0,20,0,1,5,1,0,0.4443080079705866
1,0,2,5560,160,0,0,0,5560,160,0,0,0,0,0.11921877558626284
1,0,2,930,60,0,0,6,910,60,0,0,0,0,0.15927572298316783
0,0,1,4400,170,0,0,6,4400,160,1,2,1,1,0.3794840484782038
0,0,3,6980,520,0,0,5,5830,310,0,0,0,0,0.1108322588447653
0,0,3,4990,1280,1,4,0,4990,230,0,0,0,0,0.10642931132720591
1,0,2,590,60,0,0,0,440,50,1,2,1,0,0.33761025189713817
0,0,3,1230,1230,2,6,0,180,110,0,0,0,0,0.09226372356710473
1,0,3,3820,1530,0,0,0,3710,920,0,0,0,0,0.09372975363194556
1,0,3,2910,180,0,0,0,2650,180,0,0,0,0,0.11558782423314742
0,0,3,4250,4290,3,4,0,10,20,0,0,0,0,0.05141618349516647
1,0,3,30,30,1,6,0,0,0,1,1,1,0,0.3152282996655433
1,0,2,2860,100,0,1,0,2850,100,0,0,0,0,0.12447894097731947
1,0,1,600,90,0,1,5,550,60,1,2,1,0,0.39663347424843837
1,0,2,150,70,2,6,0,150,30,0,0,0,0,0.11776543693520435
1,0,2,480,50,0,6,0,480,40,1,2,1,0,0.35703450446363866
1,0,2,2110,280,0,0,1,1790,90,1,2,1,0,0.3355948640759893
1,0,2,220,220,2,6,0,0,0,1,1,1,0,0.29315606403083655
0,0,1,650,660,3,6,0,50,10,0,0,0,0,0.09659000404122586
0,0,3,2590,1970,1,5,0,1490,230,0,0,0,0,0.09269065858082862
0,0,3,3690,270,0,0,3,3380,180,0,0,0,1,0.12265102395544247
1,0,1,690,600,1,4,0,210,40,0,0,0,0,0.11550716695780387
1,0,1,330,330,3,6,0,110,170,0,0,0,0,0.1025945486963578
0,0,3,7200,920,0,0,2,7180,920,0,0,0,0,0.0963242937283188
0,0,2,40,40,1,6,0,40,40,0,0,0,0,0.12024522438097285
1,0,1,1410,120,0,3,0,1060,120,0,0,0,0,0.12200449999121739
1,0,3,8600,4430,2,2,3,8390,340,0,0,0,0,0.10323471477128442
1,0,2,80,30,0,6,0,50,30,1,13,1,0,0.6593242493200593
