Married,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HistoryOfOverduePayments,user,sensitive,h_c,s
1,2,120,20,0,6,0,120,0,1,4,1,0,0,0,0.50974905
0,2,110,60,0,6,0,80,0,2,4,1,1,1,0,0.53371406
0,2,890,150,0,5,0,890,50,0,0,0,2,1,1,0.8381402
1,2,1510,60,0,0,3,1430,60,0,0,0,3,0,1,0.80345297
1,2,1090,1120,1,2,0,260,60,0,0,0,4,0,1,0.860886
0,3,1970,80,0,0,3,1970,80,0,0,0,5,1,1,0.85322493
0,3,16570,1680,0,0,5,11240,1680,0,0,0,6,1,1,0.7844379
0,2,360,50,4,6,0,360,10,0,0,0,7,1,1,0.68132794
1,1,430,100,0,6,0,340,100,1,2,1,8,0,1,0.46615714
0,1,420,400,1,4,0,0,0,0,0,0,9,1,1,0.83904135
0,1,340,110,1,6,0,340,70,1,2,1,10,1,1,0.84425884
0,3,680,680,2,6,0,370,670,1,2,1,11,1,1,0.90523636
0,2,370,200,0,6,0,370,30,0,0,0,12,1,1,0.82867646
0,2,2060,100,0,0,4,2010,100,2,7,1,13,1,0,0.8325722
0,3,2160,90,0,0,0,2160,90,0,0,0,14,1,1,0.8283211
0,1,1550,50,0,0,1,1550,0,1,3,1,15,0,1,0.6216611
0,3,580,100,0,0,5,470,100,1,8,1,16,1,0,0.55970365
1,3,7730,5970,1,1,0,7730,320,0,0,0,17,0,1,0.83607167
1,3,0,0,0,6,0,0,0,1,1,1,18,0,1,0.58276355
0,3,0,0,0,6,0,0,0,1,1,1,19,1,1,0.67519903
0,1,1170,1030,1,4,0,1170,90,0,0,0,20,1,1,0.8767739
1,2,20,20,1,6,0,10,10,0,0,0,21,0,0,0.7973248
0,2,1430,110,0,0,0,1250,60,2,8,1,22,1,0,0.56279624
1,3,590,590,2,6,0,170,590,0,0,0,23,0,0,0.8634497
0,3,250,180,2,6,0,140,180,0,0,0,24,1,1,0.86728245
0,1,1450,60,0,0,2,1450,60,0,0,0,25,1,1,0.8424285
0,3,10,30,3,6,0,0,0,1,1,1,26,1,0,0.8002195
0,1,690,50,0,0,0,690,40,0,0,0,27,1,1,0.85498375
1,1,930,930,2,5,0,20,100,0,0,0,28,0,1,0.8671107
0,3,560,50,0,0,0,470,50,0,0,0,29,1,1,0.6336164
0,3,1130,1140,3,6,0,510,530,0,0,0,30,1,1,0.9333919
0,2,930,50,0,0,0,930,50,1,2,1,31,1,0,0.81945735
0,3,2840,110,0,0,4,2840,90,0,0,0,32,1,1,0.834269
1,2,2180,2180,3,6,0,330,130,0,0,0,33,0,1,0.9059194
1,3,950,950,2,6,0,420,150,0,0,0,34,0,1,0.9013546
0,3,920,20,5,6,0,920,0,0,0,0,35,1,1,0.76806825
1,2,5690,250,0,0,0,5690,250,0,0,0,36,0,1,0.8319426
0,2,570,1460,1,4,0,460,50,0,0,0,37,1,1,0.8874381
0,3,20,20,1,6,0,0,20,1,1,1,38,1,0,0.68778294
0,3,550,300,2,6,0,20,280,1,2,1,39,1,1,0.8390103
0,3,19200,5770,0,0,1,6680,310,0,0,0,40,1,1,0.78585064
0,3,2060,140,0,0,6,2060,90,0,0,0,41,1,1,0.8056171
0,2,180,90,0,1,0,60,50,0,0,0,42,1,1,0.7330473
1,2,2130,120,0,0,0,1820,90,0,0,0,43,0,1,0.72115946
0,3,890,150,0,0,0,580,90,1,2,1,44,1,1,0.7464058
0,3,0,0,0,6,0,0,0,0,0,0,45,1,0,0.7105814
0,3,510,510,1,1,3,430,90,1,2,1,46,1,0,0.9090309
0,0,140,40,0,6,0,140,30,0,0,0,47,1,0,0.8658595
0,2,980,750,1,6,0,680,660,0,0,0,48,1,1,0.94247097
0,3,630,40,0,0,6,530,40,0,0,0,49,1,1,0.7011238
0,1,1200,90,0,0,0,1130,0,1,9,1,50,1,0,0.41577712
0,1,1880,60,0,0,0,1880,60,0,0,0,51,0,1,0.8435946
1,2,410,340,1,6,0,410,240,0,0,0,52,0,1,0.9281328
0,3,1380,60,0,0,0,1260,40,1,3,1,53,1,1,0.6743533
0,3,1410,150,0,3,0,1410,50,1,2,1,54,1,1,0.7397722
1,3,110,110,2,6,0,60,110,0,0,0,55,0,1,0.84034073
1,1,500,270,1,6,0,500,260,0,0,0,56,0,1,0.8902114
1,2,5370,250,0,0,4,5370,250,0,0,0,57,0,1,0.83757335
0,3,50,40,1,6,0,50,0,1,11,1,58,1,1,0.48213267
1,2,12340,920,0,0,6,12220,520,0,0,0,59,0,1,0.8060894
1,1,720,60,0,6,0,700,50,0,0,0,60,0,0,0.8624549
1,2,2200,120,0,1,3,2160,120,0,0,0,61,0,1,0.8292457
0,3,860,80,0,0,0,760,0,1,12,1,62,1,0,0.4281779
1,2,890,30,0,4,0,880,30,0,0,0,63,0,0,0.84392154
1,2,70,70,1,6,0,0,0,0,0,0,64,0,1,0.7649189
1,3,4660,250,0,3,0,4660,0,1,4,1,65,0,0,0.70543474
1,2,130,70,1,1,0,60,70,1,6,1,66,0,0,0.5839463
0,3,130,130,3,6,0,10,10,1,2,1,67,1,1,0.8163974
0,1,310,620,4,6,0,0,0,2,3,1,68,1,1,0.8515952
0,0,570,40,0,0,4,570,0,1,2,1,69,1,1,0.46671876
0,3,20,10,1,6,0,20,0,0,0,0,70,1,1,0.80575275
0,2,1940,150,0,6,0,1780,80,1,12,1,71,1,0,0.65954787
1,2,280,280,1,6,0,280,180,1,2,1,72,0,1,0.867963
0,3,100,100,2,6,0,0,0,1,1,1,73,1,1,0.7098538
0,3,2450,2460,3,5,0,90,170,0,0,0,74,1,1,0.8832879
0,2,570,90,0,0,5,450,90,1,2,1,75,1,1,0.54379976
0,1,1310,50,0,2,1,1310,50,0,0,0,76,1,1,0.834327
1,3,10,10,0,6,0,10,10,0,0,0,77,0,1,0.7950779
0,2,930,90,0,0,5,870,50,0,0,0,78,1,0,0.64096326
0,2,0,0,0,6,0,0,0,1,1,1,79,1,0,0.6186408
0,1,5050,230,0,3,0,5050,200,0,0,0,80,0,1,0.8451133
