h,famous
0.47183514,1.0
0.7319892,0.0
0.43233928,0.0
0.6340646,1.0
0.6653585,0.0
0.56647235,0.0
0.6637643,0.0
0.6652207,0.0
0.5673596,1.0
0.6685061,1.0
0.49966875,0.0
0.47986922,0.0
0.60065216,0.0
0.4670916,0.0
0.46770656,0.0
0.60039705,0.0
0.66633415,1.0
0.6963222,0.0
0.5331751,0.0
0.72925985,0.0
0.3005676,0.0
0.6651256,0.0
0.3992474,0.0
0.60024756,0.0
0.69990855,0.0
0.56908184,0.0
0.5329281,0.0
0.46600485,0.0
0.39875013,0.0
0.56516343,0.0
0.5335192,0.0
0.6324708,0.0
0.2675162,0.0
0.59982383,0.0
0.39889657,0.0
0.5357983,1.0
0.60015607,0.0
0.5671142,0.0
0.39889035,0.0
0.5999297,0.0
0.53300464,0.0
0.56525016,1.0
0.56677246,0.0
0.6365132,0.0
0.633572,0.0
0.70054555,0.0
0.80657375,1.0
0.6653296,0.0
0.39895886,0.0
0.43232146,0.0
0.29877874,1.0
0.26756683,0.0
0.39936665,0.0
0.73214364,0.0
0.30143303,0.0
0.6331761,0.0
0.5755642,0.0
0.5331853,0.0
0.65129715,1.0
0.69872504,0.0
0.7000206,0.0
0.70088905,0.0
0.5331975,0.0
0.5330917,0.0
0.8273646,1.0
0.50194836,0.0
0.5330099,0.0
0.49955004,0.0
0.73168445,0.0
0.8365189,0.0
0.63153607,0.0
0.43230242,0.0
0.39874852,0.0
0.63445705,0.0
0.6335612,0.0
0.7663175,0.0
0.4324319,0.0
0.66528815,0.0
0.37166315,1.0
0.5336213,0.0
0.6553525,1.0
0.766485,0.0
0.36627623,0.0
0.44349596,1.0
0.60021925,0.0
0.70133376,1.0
0.5998475,0.0
0.6335132,0.0
0.56695527,0.0
0.53302413,0.0
0.46650496,0.0
0.6989323,0.0
0.60008687,1.0
0.83383626,1.0
0.69914633,0.0
0.4663607,0.0
0.49978778,0.0
0.56734353,0.0
0.5350588,1.0
0.66535413,0.0
0.63407385,0.0
0.70207626,1.0
0.5643982,1.0
0.6705339,1.0
0.60050815,0.0
0.49983698,0.0
0.53323555,0.0
0.70023894,0.0
0.504012,1.0
0.2678743,0.0
0.8250342,0.0
0.77124923,0.0
0.46683195,0.0
0.3340682,0.0
0.63359267,1.0
0.69857144,0.0
0.5327146,0.0
0.5035642,1.0
0.30101618,0.0
0.62753546,1.0
0.3004962,0.0
0.53315485,0.0
0.5027739,1.0
0.56682646,1.0
0.66866195,1.0
0.7714099,0.0
0.40089723,0.0
0.6669702,0.0
0.7683047,1.0
0.30100033,0.0
0.47468835,1.0
0.60011065,0.0
0.5673718,0.0
0.39912757,0.0
0.56708175,0.0
0.7021059,1.0
0.5996563,0.0
0.6348784,0.0
0.6674718,1.0
0.4080812,1.0
0.43235937,0.0
0.6676983,1.0
0.3987626,0.0
0.5345403,0.0
0.44941434,0.0
0.6653853,0.0
0.66622025,0.0
0.49983704,0.0
0.6334244,0.0
0.49962336,0.0
0.6992749,0.0
0.5244267,0.0
0.6490242,0.0
0.6006732,0.0
0.773263,1.0
0.6345096,1.0
0.634911,1.0
0.38134903,1.0
0.39916018,0.0
0.5014484,0.0
0.63321567,0.0
0.3990921,0.0
0.7303999,0.0
0.39875978,0.0
0.39825267,0.0
0.43231165,0.0
0.56825477,1.0
0.59996223,0.0
0.3991705,0.0
0.69792295,0.0
0.60045016,0.0
0.80033326,1.0
0.5498456,0.0
0.43293396,0.0
0.79809535,0.0
0.36578745,0.0
0.49964726,0.0
0.3660261,0.0
0.7318204,0.0
0.30060336,0.0
0.60008514,0.0
0.7681027,0.0
0.59987444,0.0
0.43269837,0.0
0.0014400731,0.0
0.3991386,0.0
0.63332903,0.0
0.59984696,0.0
0.5331767,0.0
0.6000226,0.0
0.40866566,1.0
0.33363146,0.0
0.6654563,0.0
0.46630973,0.0
0.49991223,0.0
0.4679515,1.0
0.6326991,0.0
0.7320517,0.0
0.735511,1.0
