h,famous
4.596714491470326e-12,0.0
1.4201215647073667e-11,0.0
1.7471117684703254e-11,0.0
1.8536436601256997e-11,0.0
1.7469897325175094e-11,0.0
1.5119012370655064e-11,0.0
1.1479158255559727e-11,0.0
2.6063535062242546e-11,1.0
1.9401134579188308e-11,0.0
1.843900326847739e-11,0.0
2.2186284321500512e-11,0.0
2.3693643724510603e-11,0.0
1.2673090365442436e-11,0.0
1.7869188149152182e-11,1.0
2.1110144276477893e-11,0.0
4.467120868960361e-12,0.0
3.4792729398862946e-11,1.0
4.467120868960361e-12,0.0
1.5862976085234865e-11,0.0
4.344634163672422e-12,0.0
2.054076222264145e-11,0.0
1.3278108119548777e-11,0.0
1.310403001577581e-11,0.0
1.4932937452316895e-11,0.0
4.1547643380166664e-12,0.0
1.4568462875585182e-11,0.0
1.8614947236633833e-11,0.0
1.2735996348849757e-11,0.0
1.8568014513845615e-11,0.0
2.2082794264713616e-11,0.0
4.1913989438940155e-12,0.0
4.990633571733782e-12,1.0
1.569103260222745e-11,0.0
4.285875681605078e-12,0.0
1.2297375290085206e-11,0.0
1.791153216098349e-11,0.0
2.3415268401067387e-11,1.0
1.7511612953892135e-11,0.0
4.687370004989106e-12,0.0
1.1986709013391013e-11,0.0
1.387245032006737e-11,0.0
1.603723854876234e-11,0.0
1.6222505556872482e-11,0.0
1.5841792780987982e-11,1.0
1.3679332399647964e-11,0.0
1.625326528854077e-11,0.0
1.481014938558874e-11,0.0
2.0795643599925076e-11,0.0
1.600922114163809e-11,0.0
1.3891859721845886e-11,0.0
1.1611427558122283e-11,0.0
4.425531717523673e-12,0.0
4.344634163672422e-12,0.0
4.516440841618776e-12,1.0
1.8696757834379087e-11,0.0
1.3839740964576047e-11,0.0
1.3650700250659219e-11,0.0
1.7023643163336918e-11,0.0
1.276339875497594e-11,0.0
2.0209149567078794e-11,0.0
1.1460233976236787e-11,0.0
2.062414143575852e-11,0.0
4.552689143842819e-12,0.0
1.4276144759109461e-11,0.0
1.7091005662957823e-11,0.0
4.467120868960361e-12,0.0
1.4262935171435481e-11,0.0
1.594555946078364e-11,0.0
1.9734637661675334e-11,0.0
1.2849380645234402e-11,0.0
2.1963512391278837e-11,0.0
1.8221424200410186e-11,0.0
2.4325798224636724e-11,0.0
1.742984382165794e-11,0.0
4.467120868960361e-12,0.0
1.464441287737548e-11,0.0
1.6427361985492613e-11,0.0
1.3710445904007248e-11,0.0
1.629217405272743e-11,0.0
1.973613083148029e-11,0.0
1.5102989957894073e-11,0.0
1.439521279339373e-11,0.0
1.646196274898969e-11,0.0
4.596714491470326e-12,0.0
1.6204505582004902e-11,0.0
