h,race
0.30124357,1
0.40358073,1
0.6040412,0
0.10427404,0
0.9822396,0
0.50448036,0
0.30023518,0
0.40417856,0
0.60329396,1
0.100010216,0
0.30023444,0
0.39980564,1
0.102811046,0
0.30350828,1
0.97786033,1
0.5045199,0
0.3039862,0
0.60371023,1
0.90305567,1
0.20005624,0
0.40431994,0
0.29049948,0
0.10399317,0
0.8961518,1
0.5997053,1
0.30166957,1
0.3002321,0
0.69962543,1
0.9768456,1
0.897459,0
0.80322325,1
0.10382076,1
0.104204424,0
0.9764673,1
0.2829673,1
0.5034265,0
0.8047361,0
0.5034228,0
0.2041672,0
0.8950643,1
0.2000554,0
0.79505384,1
0.10402651,1
0.20005685,0
0.5704571,1
0.20383856,1
0.7051862,0
0.8851718,1
0.6996267,1
0.98664504,0
0.79963416,1
0.10004597,0
0.29562753,1
0.39980653,1
0.20005743,0
0.20079537,0
0.30023462,0
0.60335445,0
0.9020865,0
0.60361964,1
0.48996165,1
0.40373278,1
0.49970502,1
0.8050882,0
0.099894434,1
0.50266385,0
0.2998056,1
0.69997823,1
0.0998557,1
0.9832791,1
0.20393369,0
0.6042729,0
0.40389183,1
0.100025795,0
0.97867775,1
0.8992453,1
0.6002855,1
0.10390134,1
0.30023292,0
0.34543052,1
0.40353277,1
0.5997052,1
0.6034866,1
0.602181,0
0.20418704,1
0.097934045,1
0.30191272,1
0.7957211,0
0.40362105,1
0.7030521,0
0.09504006,0
0.2041035,1
0.20402408,1
0.10003787,0
0.9822481,1
0.90358067,1
0.5025396,1
0.6004842,0
0.9818485,1
0.90043294,1
0.6996266,1
0.5885602,1
0.5004839,0
0.68213993,1
0.19991161,1
0.70334476,1
0.80107707,0
0.5033545,0
0.8010809,0
0.30134416,1
0.7010769,0
0.100045025,0
0.10078912,0
0.099999316,0
0.40215886,1
0.1879539,1
0.19991359,1
0.10423944,0
0.2998056,1
0.6025069,0
0.40388107,0
0.49948192,0
0.38910127,0
0.90330696,1
0.60048395,0
0.1044127,0
0.9036394,1
0.40351322,1
0.9027936,1
0.6996273,1
0.7996297,1
0.4035181,0
0.88355917,1
0.50161827,0
0.29980585,1
0.49970496,1
0.20410691,1
0.20005575,0
0.88557196,1
0.39980653,1
0.80368537,1
0.10423409,0
0.7035111,1
0.7996308,1
0.96068907,0
0.89952844,1
0.20443062,0
0.89513105,1
0.9020948,0
0.9846223,1
0.4027362,0
0.10002386,0
0.60258037,0
0.30023313,0
0.40420052,0
0.10425615,0
0.20413923,0
0.50422734,0
0.20005377,0
0.20387088,1
0.80051595,1
0.90300614,1
0.40295145,0
0.3002333,0
0.20006022,0
0.698868,1
0.30262604,0
0.98347247,1
0.20416427,1
0.20006017,0
0.98435646,1
0.30023488,0
0.97798175,1
0.103078954,1
0.100050285,0
0.8025056,1
0.6031751,1
0.49970502,1
0.80180246,1
0.30398583,1
0.89622885,1
0.9033989,1
0.10408235,1
0.59970516,1
0.6004849,0
0.97379476,1
0.099908255,1
0.9905179,1
0.3998061,1
0.10399865,1
0.4039264,0
0.6466667,0
0.6927888,1
0.20005922,0
0.103823155,0
0.19990538,1
0.10098312,0
0.9829754,0
0.60389745,0
0.5041386,0
0.09988667,1
0.2038457,1
0.30154887,1
0.60335505,1
0.7035296,1
0.39992696,1
0.5997052,1
0.97557473,0
0.10278708,0
0.5997052,1
0.100042924,0
0.10445584,0
0.80047226,1
0.50273263,1
0.10004571,0
0.49970496,1
0.79963684,1
0.20407283,1
0.5004839,0
0.10399798,1
0.39532423,0
0.5043754,0
0.9736039,1
0.89948064,1
0.4002352,0
