h,race
1.5463573680241895e-11,1
1.8290484089004612e-11,1
2.6217696743025376e-11,0
1.3716257076711757e-11,0
1.2399568767550108e-10,0
2.5889787542322803e-11,0
3.6398175448878335e-12,0
1.961019291548111e-11,0
2.330853718776468e-11,1
3.4602896590183465e-12,0
3.6398175448878335e-12,0
3.6720121468347185e-12,1
1.3661792873309798e-11,0
1.5478159795096146e-11,1
7.824083752950897e-11,1
2.3071136753456658e-11,0
2.0070734175612226e-11,0
2.3479719674256374e-11,1
5.38842488079501e-11,1
3.5480491106527158e-12,0
1.9623475729940467e-11,0
1.7611730046181398e-11,0
1.3859061089540528e-11,0
4.425555569464809e-11,1
3.881994280306449e-12,1
1.5545969735130025e-11,1
3.6398175448878335e-12,0
3.995134638553143e-12,1
1.2400820582955897e-10,1
7.30001719007194e-11,0
5.1103596577371025e-11,1
1.3840129901903782e-11,1
1.361533095689075e-11,0
5.7996133029899933e-11,1
1.4218444888258355e-11,1
2.3021244867470873e-11,0
5.286642045922558e-11,0
2.2480042277733504e-11,0
1.5512906463313885e-11,0
4.485070779774917e-11,1
3.5480491106527158e-12,0
3.1708987064507916e-11,1
1.2865891921184254e-11,1
3.5480491106527158e-12,0
2.0759306462670132e-11,1
1.4111998888422883e-11,1
4.1772839618130874e-11,0
5.600404554588348e-11,1
3.995134638553143e-12,1
1.6843587284057312e-10,0
4.114201850459372e-12,1
3.4602896590183465e-12,0
1.6655139540701622e-11,1
3.6720121468347185e-12,1
3.5480491106527158e-12,0
1.6551069105017326e-11,0
3.6398175448878335e-12,0
2.5962917640406846e-11,0
4.296424212809515e-12,0
2.7404425101254745e-11,1
1.9378145948514635e-11,1
1.7607243554120815e-11,1
3.774401432876656e-12,1
5.357701832077573e-11,0
3.3930387353254176e-12,1
2.3624935573816303e-11,0
3.574511736575177e-12,1
2.7937591909644298e-11,1
3.3930387353254176e-12,1
1.1999200259958833e-10,1
1.5804990110344683e-11,0
2.927529876253599e-11,0
1.7424598736189596e-11,1
3.4602896590183465e-12,0
6.48542351498668e-11,1
4.839772978323328e-11,1
2.2120551492569138e-11,1
1.2570760395436787e-11,1
3.6398175448878335e-12,0
1.6257337476193598e-11,1
1.7910639402843934e-11,1
3.881994280306449e-12,1
2.5418377292594147e-11,1
3.38256675280359e-11,0
1.443775719130946e-11,1
1.1865181497669298e-11,1
1.533551862810326e-11,1
4.718536424376162e-11,0
1.7512801853519324e-11,1
3.232221002650943e-11,0
1.3624326798223273e-11,0
1.4231458601474867e-11,1
1.4269610527192648e-11,1
3.4602896590183465e-12,0
8.915208851246808e-11,1
7.794109860625076e-11,1
1.9954691887234e-11,1
3.9424705360899775e-12,0
8.692996036344126e-11,1
4.1054460021477963e-11,1
3.995134638553143e-12,1
2.4744571684297265e-11,1
3.836636429751128e-12,0
2.517048039544018e-11,1
3.4816101955915614e-12,1
2.7970192200105452e-11,1
4.171634855993822e-12,0
2.216005153777437e-11,0
4.171634855993822e-12,0
1.7087246348979212e-11,1
4.053920621169171e-12,0
3.4602896590183465e-12,0
1.3394246985020208e-11,0
3.4602896590183465e-12,0
1.976440975070091e-11,1
1.294809343583821e-11,1
3.4816101955915614e-12,1
1.4094320041238905e-11,0
3.574511736575177e-12,1
2.8877777854188936e-11,0
2.03029367863124e-11,0
2.0837466321690715e-11,0
1.9328601252557237e-11,0
1.3691506064074004e-10,1
3.9424705360899775e-12,0
