h,race
0.0,1
0.0,1
0.0,0
0.0,0
0.9906103286384976,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,1
0.0,0
0.0,1
0.9292421193829644,1
0.0,0
0.0,0
0.0,1
0.8967136150234741,1
0.0,0
0.0,0
0.0,0
0.0,0
0.8963782696177063,1
0.0,1
0.0,1
0.0,0
0.0,1
0.93919069975408,1
0.9567404426559356,0
0.0,1
0.0,1
0.0,0
0.9386317907444668,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,1
0.0,1
0.0,0
0.0,1
0.0,1
0.0,0
0.0,1
0.0,1
0.9915045830538788,0
0.0,1
0.0,0
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.9518220433713391,0
0.0,1
0.0,1
0.0,1
0.0,1
0.0,0
0.0,1
0.0,0
0.0,1
0.0,1
0.0,1
0.9366197183098591,1
0.0,0
0.0,0
0.0,1
0.0,0
0.9360608093002459,1
0.0,1
0.0,1
0.0,1
0.0,0
0.0,1
0.0,1
0.0,1
0.0,1
0.0,0
0.0,1
0.0,1
0.0,1
0.0,0
0.0,1
0.0,0
0.0,0
0.0,1
0.0,1
0.0,0
0.9349429912810194,1
0.9172814665772412,1
0.0,1
0.0,0
0.93158953722334,1
0.9249944109099039,1
0.0,1
0.0,1
0.0,0
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,0
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.907221104404203,1
0.0,0
0.0,0
0.0,1
0.0,1
0.9140397943214844,1
0.0,1
0.0,1
0.0,0
0.9021909233176839,1
0.0,0
0.0,1
0.0,1
0.0,1
0.0,0
0.9195171026156942,1
0.0,1
0.0,1
0.0,0
0.0,1
0.0,1
0.9903867650346524,0
0.0,1
0.0,0
0.0,1
0.9290185557791192,0
0.9265593561368209,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.935725463894478,1
0.0,1
0.0,0
0.9327073552425665,1
0.0,0
0.9334898278560251,1
0.0,1
0.0,0
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,0
0.9371786273194724,1
0.0,1
0.9340487368656383,1
0.0,1
0.0,1
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,1
0.0,0
0.990833892242343,0
0.0,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.9911692376481109,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,1
0.0,1
0.0,0
0.0,1
0.0,1
0.0,1
0.0,0
0.0,1
0.0,0
0.0,0
0.9285714285714286,1
0.0,1
0.0,0
0.0,1
0.0,1
0.0,0
0.9356136820925554,0
0.0,1
0.0,1
0.930024591996423,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.9775318578135479,1
0.0,1
0.0,0
0.0,1
0.0,0
0.9362843729040912,0
0.0,1
0.0,1
0.0,0
0.0,1
0.0,1
0.0,0
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,1
0.0,1
0.9759669125866309,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.0,1
0.0,0
0.0,1
0.0,0
0.0,0
0.0,1
0.0,1
0.0,1
0.8906773977196513,0
0.0,0
0.0,1
0.0,1
0.0,0
0.0,1
0.0,0
0.0,1
0.88978314330427,0
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,1
0.0,1
0.0,0
0.0,1
0.0,1
0.0,1
0.0,0
0.0,1
0.0,1
0.9792085848423877,1
0.0,0
0.0,1
0.0,0
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.0,1
0.975631567180863,1
0.0,0
0.0,0
0.0,1
0.0,0
0.0,1
