h,race
9.23804481708798e-05,1
9.194106406404069e-05,1
9.563428919318596e-05,0
7.483497580990889e-05,0
0.00013500593839126655,0
8.711729665004281e-05,0
1.0860121633362297e-05,0
8.689558404934573e-05,0
9.858701033880427e-05,1
3.620040544454099e-06,0
1.0860121633362297e-05,0
1.4480162177816397e-05,1
9.016927231729236e-05,0
8.374516227169495e-05,1
0.00010473845457406673,1
9.031259547368844e-05,0
8.635398554334528e-05,0
9.172139648204724e-05,1
0.00011271130437896733,1
7.240081088908198e-06,0
8.603673560849229e-05,0
0.00015540085329607446,0
6.42987596440907e-05,0
0.00016318135597688323,1
2.1720243266724594e-05,1
0.00010608823976102968,1
1.0860121633362297e-05,0
2.534028381117869e-05,1
0.00014786775019941798,1
0.00015764779450828755,0
0.0001042434832191042,1
7.727145746207716e-05,1
7.562862513455335e-05,0
0.0001742938741804934,1
0.00017980849059082423,1
8.302966018413156e-05,0
0.00010440510658696008,0
9.773653708701421e-05,0
8.208736107385535e-05,0
0.00014496402044095828,1
7.240081088908198e-06,0
0.00016075178629073182,1
7.342203779690805e-05,1
7.240081088908198e-06,0
0.00023287989765692743,1
7.52879156865694e-05,1
9.339320465358124e-05,0
0.00020440238336815955,1
2.534028381117869e-05,1
0.00011299138202976147,0
2.8960324355632794e-05,1
3.620040544454099e-06,0
0.0001336011239131954,1
1.4480162177816397e-05,1
7.240081088908198e-06,0
0.00010215497627399838,0
1.0860121633362297e-05,0
0.00010057981202598515,0
3.2580364900086895e-05,0
9.164061680186837e-05,1
0.00017052336751158156,1
8.974560452606995e-05,1
1.8100202722270495e-05,1
9.919538499807991e-05,0
3.620040544454099e-06,1
0.0001098554212536536,0
1.0860121633362297e-05,1
0.00013033204418785993,1
3.620040544454099e-06,1
0.00010605174413598374,1
7.380555285497013e-05,0
9.365341921932655e-05,0
8.657853423554264e-05,1
3.620040544454099e-06,0
0.0001736534921057507,1
0.00012929470237433592,1
0.0001149257336145592,1
7.926077972661267e-05,1
1.0860121633362297e-05,0
0.0002814907538309595,1
8.623088023245326e-05,1
2.1720243266724594e-05,1
6.365171827651696e-05,1
0.0001095412678533242,0
7.863708331991581e-05,1
0.00011696041486921459,1
0.00010136432793451869,1
0.00016209552765387647,0
8.921827100563746e-05,1
0.00011128124844612421,0
0.00014259754908395067,0
7.547470960139554e-05,1
7.67032694803997e-05,1
3.620040544454099e-06,0
0.00010451958360248648,1
0.00010041055561009122,1
0.00010191282960755652,1
2.1720243266724594e-05,0
0.00012065165568016192,1
0.00013111769291778244,1
2.534028381117869e-05,1
0.00017228329770086512,1
1.8100202722270495e-05,0
0.00019969354771362806,1
7.240081088908198e-06,1
9.796345712973924e-05,1
2.8960324355632794e-05,0
9.642282270050145e-05,0
2.8960324355632794e-05,0
0.000101818937248922,1
2.534028381117869e-05,0
