h,Married
0.119148456,1
0.37778008,1
0.6863165,1
0.57067835,0
0.32223698,1
0.119652145,0
0.13423565,0
0.11214709,0
0.12793417,0
0.107545234,0
0.10141324,0
0.44485763,1
0.11879158,1
0.16825096,1
0.37892997,0
0.111347206,0
0.10676307,0
0.3322735,1
0.09108006,0
0.09299094,1
0.11530837,1
0.0520048,0
0.3100649,1
0.12453583,1
0.39743748,1
0.117642306,1
0.35769424,1
0.33063197,1
0.28823188,1
0.09726162,0
0.0933282,0
0.123074,0
0.11504385,1
0.10268949,1
0.09666292,0
0.12084253,0
0.121697366,1
0.10310765,1
0.6584433,1
0.09465449,0
0.13690582,1
0.07999202,0
0.11644185,0
0.12467985,1
0.121042386,1
0.23116189,0
0.1312731,0
0.101459,0
0.099621356,0
0.09777373,0
0.47605333,0
0.040990938,0
0.44082972,1
0.113998525,0
0.06901242,1
0.23955356,1
0.091439605,0
0.09090338,0
0.32695526,1
0.11199768,1
0.16634874,1
0.136003,1
0.12125574,1
0.490984,1
0.37289485,0
0.32541886,0
0.10342007,0
0.34646314,0
0.09326825,0
0.12436296,1
0.11290375,0
0.13821651,0
0.5357628,1
0.13033476,0
0.12397851,1
0.33005428,1
0.32725188,0
0.11474267,0
0.10560185,0
0.12192048,0
0.12968583,1
0.5811545,0
0.54947144,1
0.31024066,0
0.23567551,0
0.6229395,0
0.25764394,0
0.089952156,1
0.12567815,0
0.35024738,0
0.05050688,1
0.464864,0
0.13548306,1
0.42889333,0
0.09383488,0
0.05012401,0
0.35295525,0
0.3283523,1
0.1403504,0
0.10582833,0
0.10543655,0
0.27064347,1
0.11259177,1
0.390683,0
0.103231914,0
0.11725845,1
0.12263368,1
0.14276962,0
0.09234489,0
0.114575855,0
0.31147796,1
0.7164685,0
0.03398081,0
0.14949353,1
0.16677828,1
0.087013796,0
0.11956699,1
0.11968013,0
0.11480982,1
0.13515687,1
0.16188785,1
0.14154221,0
0.118788525,1
0.12689695,1
0.12739898,0
0.12735748,1
0.666623,0
0.13323373,1
0.13152218,0
0.13666287,0
0.12495561,0
0.09658361,0
0.2554895,0
0.121205255,1
0.10084306,0
0.10046131,0
0.12651472,0
0.11090157,0
0.37887344,0
0.10558053,0
0.10008517,0
0.118501976,0
0.13055915,1
0.10985418,1
0.12520921,0
0.10127691,1
0.08476487,0
0.132611,1
0.58888626,1
0.10804733,1
0.118441276,1
0.13662754,0
0.100539766,0
0.43279386,1
0.121589705,0
0.11544547,0
0.12624548,0
0.29110408,1
0.27106908,1
0.13511083,1
0.11447226,0
0.09012,0
0.111790664,0
0.29672268,0
0.11464409,1
0.080990925,1
0.13057506,1
0.11385472,0
0.41914907,0
0.11968395,1
0.1408292,0
0.10487734,0
0.117878295,1
0.3078741,1
0.13636829,1
0.33347958,0
0.093905084,1
0.1306577,0
0.08708627,0
0.45025176,1
0.12477124,0
0.78761464,0
0.09203908,0
0.13468881,1
0.12147505,0
0.3627032,1
0.1048725,0
0.08079774,0
0.10334091,0
0.11209621,1
0.12676287,0
0.03676533,0
0.34985074,0
0.51388544,1
0.5475995,0
0.12094311,1
0.2494739,1
0.10860829,0
0.2512829,1
0.12641637,1
0.13318522,0
0.12729725,1
0.12622876,1
0.5263344,1
0.120520465,0
0.107626036,0
0.35247898,1
0.13325065,1
0.11507911,1
0.56308824,1
0.06606803,0
0.587249,1
0.12278535,0
0.37622422,0
0.095179975,1
0.11336575,1
0.06719742,0
0.12198143,1
0.37866226,1
0.12028829,1
0.29970422,1
0.13690838,1
0.116959,1
0.12394978,1
0.11493758,0
0.11539483,1
0.33632386,0
0.2930137,1
0.11121712,1
0.11771135,1
0.10418934,0
0.12145929,1
0.111544065,0
0.34608948,0
0.3529686,1
0.33491307,0
0.10561071,0
0.12099966,0
0.1289381,0
0.39978927,0
0.12932017,0
0.34114537,0
0.10749979,1
0.08018759,0
0.12869628,1
0.41185263,0
0.64848745,0
0.11140714,0
0.60795546,1
0.13346203,1
0.027058618,0
0.11438513,1
0.16966562,1
0.113329306,0
0.4928202,0
0.47684696,0
0.12217559,1
0.11845562,0
0.26465505,1
0.087625846,0
0.12574796,0
0.057063658,1
0.12246423,1
0.44383344,0
0.13472325,1
0.12483146,0
0.29267997,1
0.10276436,0
0.12527145,1
0.12566842,1
0.69960743,1
0.130655,0
0.071710676,1
0.11404031,0
0.374901,0
0.13511382,1
0.14248529,0
0.13528706,0
0.32551932,0
0.31622902,1
0.09479335,0
0.1327554,1
0.016475746,1
0.1818779,1
0.092874594,1
0.084751196,0
0.124257915,1
0.11129701,0
0.33276838,0
0.124657616,0
0.13689889,1
0.3144943,0
0.23654237,0
0.09863714,1
0.5204575,0
0.652308,0
0.08032327,0
0.12988026,0
0.449512,1
0.35604697,0
0.12711504,0
0.14397779,1
0.12702754,0
0.11251401,0
0.13637185,1
0.32548937,0
0.12101668,0
0.620054,0
0.1199438,0
0.46700308,0
0.14161128,1
0.10435566,0
