h,Married
8.79412840598436e-12,1
1.0489202309577335e-11,1
1.8761398025967346e-11,1
1.5742186278120624e-11,0
1.094583388280504e-11,1
8.788576049515072e-12,0
1.08496938081874e-11,0
8.413645835511254e-12,0
9.320992974152927e-12,0
1.2072188220085785e-11,0
9.286649079133504e-12,0
1.7594553513925417e-11,1
8.22116637826724e-12,1
1.0338882842505742e-11,1
9.564427167709835e-12,0
8.916539070770643e-12,0
8.241110150585944e-12,0
1.068364104300281e-11,1
8.658966294832527e-12,0
8.230935527111036e-12,1
1.087470306522541e-11,1
8.016672929108767e-12,0
1.049633557556041e-11,1
9.62675948914788e-12,1
1.1256782508592848e-11,1
8.693448340521684e-12,1
1.0053895219305124e-11,1
1.0815015656998536e-11,1
9.923763949276013e-12,1
9.023884771424123e-12,0
8.04743630770364e-12,0
1.0054967734874324e-11,0
8.428527309408506e-12,1
8.486748752452805e-12,1
8.02711992447693e-12,0
9.114035987826468e-12,0
9.537722479005228e-12,1
9.132112239295607e-12,1
1.2493393905038409e-11,1
8.164778384001231e-12,0
8.17940857443767e-12,1
8.432555229859498e-12,0
8.425125167423069e-12,0
9.228044369836586e-12,1
8.924905226452358e-12,1
9.345341509045255e-12,0
9.086207721852084e-12,0
8.17035579284797e-12,0
8.490431410534095e-12,0
8.344613859494671e-12,0
1.7527789748100727e-11,0
7.651308227138332e-12,0
1.0756785231064061e-11,1
1.0516540000955821e-11,0
8.235686448215128e-12,1
9.089368445755791e-12,1
8.442054834798759e-12,0
8.167754763178329e-12,0
1.5017978530775177e-11,1
8.258846449048741e-12,1
1.0239018142101728e-11,1
8.170232327656334e-12,1
8.307752486768987e-12,1
1.3550138267269824e-11,1
9.92468223716159e-12,0
1.1506230599072995e-11,0
8.460371353469739e-12,0
9.682769118275011e-12,0
8.282897810928809e-12,0
8.374705645714807e-12,1
9.413686705184217e-12,0
9.077565404555448e-12,0
1.0918863025316277e-11,1
9.978808043162036e-12,0
8.29081750392748e-12,1
1.0916457090491416e-11,1
1.1521186825086554e-11,0
8.462381625051256e-12,0
9.60762445151411e-12,0
8.35673844073641e-12,0
8.9160298385704e-12,1
2.0741157140137543e-11,0
1.3805058078523558e-11,1
1.120099436513232e-11,0
9.177694523585324e-12,0
1.5565800713658872e-11,0
1.0268831933753974e-11,0
7.72886488986722e-12,1
8.372883617499518e-12,0
1.010099653014161e-11,0
7.714088547216054e-12,1
1.010967005401792e-11,0
8.459364532049197e-12,1
1.4703702629443597e-11,0
8.115752369867496e-12,0
7.721983301278089e-12,0
1.6363800642452058e-11,0
1.0842130575929345e-11,1
9.282244275801846e-12,0
9.22927690497544e-12,0
8.819338719360459e-12,0
8.907289196883295e-12,1
8.642264114488255e-12,1
1.4581120692240242e-11,0
8.323265996955893e-12,0
8.72372490186519e-12,1
8.624729578862546e-12,1
8.381574208480564e-12,0
8.712589340597396e-12,0
8.369003854032258e-12,0
9.160121054677578e-12,1
2.3721593492587236e-11,0
7.606239252640973e-12,0
8.15928646284602e-12,1
9.912468953097736e-12,1
8.026191299034422e-12,0
8.596635486591432e-12,1
1.0952422505574822e-11,0
8.322574475463467e-12,1
8.894704185189749e-12,1
1.0095093376391657e-11,1
9.741316170136137e-12,0
8.257450404097824e-12,1
8.80109788071051e-12,1
8.893203023889986e-12,0
9.027297071299625e-12,1
1.0660048975596643e-11,0
9.35060635271549e-12,1
9.36919509168752e-12,0
9.761471592099183e-12,0
9.232140644771697e-12,0
8.514987055615454e-12,0
9.457491640670065e-12,0
9.008209146752402e-12,1
8.985123842930692e-12,0
9.068768741071614e-12,0
1.0295977090485643e-11,0
9.019497823655224e-12,0
1.3094623032410688e-11,0
9.683848285753616e-12,0
8.440988679117235e-12,0
9.46940602815734e-12,0
8.133703719343009e-12,1
8.814901079752086e-12,1
8.533881577151995e-12,0
8.890189642597385e-12,1
8.087953047665645e-12,0
8.91243382181799e-12,1
1.361130460511248e-11,1
8.103904275534238e-12,1
8.789244925652016e-12,1
9.597653433182281e-12,0
9.062994228336179e-12,0
1.0432229599557626e-11,1
8.751858867946683e-12,0
8.282740968229117e-12,0
8.846573442625536e-12,0
1.0406991767793293e-11,1
9.006622290946686e-12,1
8.16116146376343e-12,1
8.960943951051776e-12,0
8.110531198933436e-12,0
8.677353285636534e-12,0
9.078903268366306e-12,0
9.183258265794774e-12,1
8.078641162988179e-12,1
8.096205496351104e-12,1
8.948991465042788e-12,0
1.3806647162790785e-11,0
8.010212557326804e-12,1
9.122085283936742e-12,0
8.359762940109676e-12,0
8.399804177992146e-12,1
9.533460210839711e-12,1
8.396995960725696e-12,1
1.3014939994033225e-11,0
8.292263748525154e-12,1
8.58813629683779e-12,0
7.961522336216231e-12,0
9.391989500540817e-12,1
1.0188051441168836e-11,0
1.888336958249778e-11,0
8.36924796003867e-12,0
8.133384360473636e-12,1
8.7849122729595e-12,0
1.1887157501992432e-11,1
8.83904179440293e-12,0
7.858847060151651e-12,0
1.0626867581045233e-11,0
8.571672923756006e-12,1
9.143287981959747e-12,0
7.52656300794959e-12,0
1.1521383303310236e-11,0
1.0756555742266612e-11,1
1.3505787957770718e-11,0
8.319501253485823e-12,1
8.863055394010001e-12,1
9.359808704280585e-12,0
8.489252552496834e-12,1
9.01367311670498e-12,1
9.295436543505914e-12,0
8.302701032307933e-12,1
8.322987669613511e-12,1
1.9942587248800133e-11,1
8.437845384883512e-12,0
9.633573375146155e-12,0
1.0233433020748969e-11,1
8.29419054858285e-12,1
8.348846037955208e-12,1
1.2198236359517094e-11,1
8.003724405856248e-12,0
1.001472335832627e-11,1
8.427285214529865e-12,0
1.1236088599928315e-11,0
8.030047141049206e-12,1
8.90057641479565e-12,1
7.951136859278168e-12,0
1.1937693991749293e-11,1
1.2107384211014603e-11,1
8.681505128599098e-12,1
1.0118172656792978e-11,1
8.179408574437792e-12,1
8.285425084305978e-12,1
8.876229145419378e-12,1
8.645208346433971e-12,0
1.2107012120255635e-11,1
1.18356939732248e-11,0
9.434872184063344e-12,1
8.156027377602513e-12,1
8.219834237855665e-12,1
9.363339609837536e-12,0
8.330579940589821e-12,1
9.37391699658993e-12,0
1.063947411015921e-11,0
1.0213458128097919e-11,1
9.402522090081082e-12,0
8.201053206094455e-12,0
8.548416454212187e-12,0
8.591002779735515e-12,0
1.0898416665391172e-11,0
8.61325265530275e-12,0
1.2206190378483595e-11,0
8.362502383581345e-12,1
8.413529348016938e-12,0
9.541081320132994e-12,1
1.2983453949597619e-11,0
2.2841741135718663e-11,0
9.196945567441933e-12,0
1.2491476784827822e-11,1
8.86466942404378e-12,1
7.275324096777583e-12,0
8.117870419228649e-12,1
8.66949262949553e-12,1
8.777863176751383e-12,0
9.924621909912245e-12,0
1.8141755058175803e-11,0
8.395581270678258e-12,1
8.711733733883824e-12,0
8.933644024991038e-12,1
8.324105073063335e-12,0
1.0291724744717736e-11,0
7.560581403700461e-12,1
9.367441973832549e-12,1
1.3127083235170148e-11,0
8.157749370833228e-12,1
8.646193605103496e-12,0
9.303595018130098e-12,1
8.286330886552742e-12,0
9.402101814930908e-12,1
8.372328024911537e-12,1
1.3241032713004977e-11,1
8.588136296837987e-12,0
7.942714710276904e-12,1
8.87819791087978e-12,0
1.2055785130594766e-11,0
8.161161463763254e-12,1
8.90358868220674e-12,0
9.00203373309767e-12,0
1.1506230599072997e-11,0
9.742372059555504e-12,1
8.810016294277818e-12,0
1.0538184599252413e-11,1
7.198247387380108e-12,1
8.695109420108419e-12,1
8.11684250807621e-12,1
8.247094745511038e-12,0
1.1202768051336248e-11,1
8.315302242551947e-12,0
1.1233733413057771e-11,0
8.36423830995109e-12,0
8.179408574437528e-12,1
9.66724696062353e-12,0
8.682437397434379e-12,0
8.905585120796367e-12,1
1.1510903925590554e-11,0
1.580478252826613e-11,0
8.345464741214687e-12,0
8.518696534209785e-12,0
1.0429132554481666e-11,1
9.540342434415398e-12,0
8.333975502382546e-12,0
8.467966308549133e-12,1
9.003576119615957e-12,0
9.733162795214747e-12,0
8.158485831679176e-12,1
1.150623059907271e-11,0
9.343885855945061e-12,0
1.1347225413603472e-11,0
9.88483550397078e-12,0
9.816843136822567e-12,0
8.492955310561666e-12,1
8.531249203684347e-12,0
8.494875055591574e-12,0
8.401920600914308e-12,1
8.54746835901164e-12,1
1.0486143275989479e-11,0
8.346015208952525e-12,0
1.186187562643002e-11,0
9.06124396047333e-12,0
7.71704366890553e-12,1
1.0780813653967145e-11,1
1.4495693541804484e-11,0
7.79639415924107e-12,1
7.84610538771931e-12,0
8.706127205297034e-12,0
8.047706972634069e-12,1
1.4529159091494249e-11,1
8.430772336869009e-12,0
8.483050065896299e-12,1
8.804118466891045e-12,1
9.769623824166274e-12,0
1.0261016575736553e-11,0
1.0002427256544083e-11,0
1.386540729445834e-11,1
8.644005244904828e-12,0
9.008384994519127e-12,1
7.88146399913314e-12,0
1.3468935217779862e-11,0
8.6728821966092e-12,1
8.650281147559919e-12,1
8.150319114399448e-12,0
8.8503415644887e-12,0
8.395533463410884e-12,0
1.2658167816019022e-11,1
1.681398106629773e-11,0
9.526449552566416e-12,0
9.925886524647378e-12,1
8.520017311329344e-12,0
