h,Married
0.5103534,1
0.5334923,0
0.83808565,0
0.8035251,1
0.8607714,1
0.85332185,0
0.78437513,0
0.6813375,0
0.46639797,1
0.8389817,0
0.8442002,0
0.90534276,0
0.8286234,0
0.8325132,0
0.82826704,0
0.62141246,0
0.55945814,0
0.83614206,1
0.5830421,1
0.6752506,0
0.8768719,0
0.79739743,1
0.56254333,0
0.863333,1
0.8673815,0
0.84237367,0
0.80016756,0
0.85508347,0
0.86699784,1
0.63336456,0
0.93321073,0
0.81940275,0
0.83421254,0
0.9057847,1
0.9012419,1
0.7680157,0
0.83201855,1
0.88752806,0
0.68779606,0
0.838958,0
0.78579587,0
0.8055655,0
0.7330791,0
0.7211615,1
0.74641955,0
0.71060705,0
0.90913147,0
0.86595416,0
0.94141465,0
0.7011277,0
0.41662762,0
0.8435408,0
0.9280069,1
0.67439413,0
0.7398114,0
0.84041625,1
0.8901011,1
0.8376422,1
0.4817535,0
0.8061602,1
0.8623172,1
0.829319,1
0.42903262,0
0.84399176,1
0.7649968,1
0.7053927,1
0.5842245,1
0.81634647,0
0.8516985,0
0.4658886,0
0.8056994,0
0.65958065,0
0.8678507,1
0.7098704,0
0.8833961,0
0.5434927,0
0.83427316,0
0.7951495,1
0.6407183,0
0.6183923,0
0.84505934,0
0.8730497,0
0.77951574,0
0.8055952,1
0.816726,0
0.82337296,0
0.69467074,1
0.6320976,0
0.9239191,1
0.33784512,0
0.7015594,1
0.74827385,0
0.889393,0
0.8431768,1
0.8124306,0
0.80578643,0
0.9152768,1
0.7630828,0
0.80935806,1
0.7031946,1
0.87843406,0
0.83170027,0
0.73724854,1
0.8661447,0
0.5247819,0
0.8766864,0
0.890283,1
0.8881976,0
0.8630746,0
0.6681031,1
0.86389077,1
0.61370164,1
0.67208624,1
0.65325344,0
0.7309988,0
0.4211042,0
0.86498755,0
0.6998917,0
0.9054378,1
0.7446993,0
0.42633742,0
0.58118683,1
0.57720333,1
0.8246752,1
0.7655924,0
0.6495248,0
0.84429204,0
0.8283152,1
0.72661865,1
0.81111366,1
0.920636,0
0.7051283,0
0.8190678,1
0.8531854,1
0.8094137,0
0.54902124,1
0.77988136,0
0.7599555,1
0.82299316,1
0.85128105,0
0.6793851,0
0.7731269,0
0.6187221,0
0.91199046,0
0.89120483,0
0.6211304,0
0.6942764,0
0.8404824,0
0.5020482,1
0.81157845,1
0.7958628,1
0.94079477,0
0.780099,0
0.86901367,1
0.69416034,0
0.82301486,1
0.8598701,0
0.8595176,0
0.717918,1
0.3349511,1
0.63245684,0
0.7182896,0
0.7978407,1
0.80402726,1
0.68963087,1
0.81407887,0
0.8942096,0
0.83103174,1
0.70741636,1
0.80708426,0
0.87708265,0
0.8388252,0
0.9123338,0
0.6817157,0
0.6772324,0
0.6240168,1
0.8201383,0
0.622038,0
0.84057885,0
0.78706485,1
0.9085895,0
0.9149281,0
0.9046549,1
0.84435093,1
0.7239372,0
0.4103904,1
0.8721356,0
0.81346047,0
0.8342221,1
0.40099958,0
0.8012905,0
0.59472483,0
0.85637504,0
0.90746105,0
0.8653778,1
0.6577921,0
0.8081484,1
0.84975666,0
0.82673955,1
0.7888139,0
0.90634733,1
0.9033422,0
0.957098,0
0.8017614,0
0.82528347,1
0.8930425,1
0.7107585,1
0.90124685,1
0.84379584,0
0.9084349,1
0.86077034,0
0.7862191,1
0.8309481,1
0.83273387,0
0.7569882,0
0.7100077,1
0.650545,1
0.85592157,0
0.7807592,0
0.8718566,0
0.78403753,1
0.84557784,0
0.84111303,0
0.7949104,0
0.75766575,0
0.8233804,0
0.8629137,1
0.5631134,1
0.8292856,0
0.5787251,0
0.85729396,0
0.72791,0
0.84092754,1
0.6818308,0
0.82734615,1
0.9218067,0
0.84508085,0
0.8308947,0
0.8423648,1
0.61672246,0
0.58028597,0
0.74353117,0
0.7422051,0
0.58853334,0
0.84453905,0
0.80882084,0
0.785588,1
0.8404973,0
0.6435913,0
0.8585125,1
0.8022783,0
0.88736355,0
0.7774764,0
0.8547575,0
0.8735185,0
0.7705828,1
0.87580425,1
0.85787684,1
0.78046393,1
0.81587195,1
0.9345489,0
0.80483115,0
0.9188041,1
0.9045322,0
0.8452441,0
0.79296863,1
0.62060124,0
0.7980458,0
0.84383106,0
0.7594423,0
0.82180506,0
0.71910274,1
0.67735016,0
0.5850293,0
0.73748624,0
0.85541236,0
0.8986651,1
0.7519872,0
0.81055796,1
0.8492828,1
0.8942443,0
0.87849426,1
0.8254975,0
0.7851425,0
0.8170466,1
0.95098054,1
0.8267007,0
0.8537079,1
0.8399572,0
0.7302318,1
0.83505106,0
0.6429368,0
0.43701628,1
0.6373927,0
0.78598255,0
0.8329275,0
0.83049554,1
0.82487166,1
0.7232631,1
0.82361484,0
0.8472244,0
0.82784915,0
0.8166826,1
0.78142244,0
0.84384704,0
