h,Married
2.5627294454362822e-11,1
3.323697806243606e-11,0
7.533221155477126e-11,0
5.766751934405382e-11,1
1.5696613259516652e-10,1
8.206406650437172e-11,0
5.5521223658802164e-11,0
2.874141094696092e-11,0
2.3586025827937895e-11,1
9.593252608156166e-11,0
6.621960944654348e-11,0
4.702882319808027e-10,0
8.434618524426421e-11,0
7.856807873145682e-11,0
8.653992533837154e-11,0
2.4206196267235293e-11,0
2.4482394074508786e-11,0
9.187672355591355e-11,1
2.4387467666634524e-11,1
3.372404870974227e-11,0
1.2667140348956292e-10,0
5.6291369982154615e-11,1
2.797894648576423e-11,0
1.8750120169438805e-10,1
1.18673742042544e-10,0
8.212288890038096e-11,0
6.006769178925579e-11,0
8.496015362467497e-11,0
1.7759801048396338e-10,1
2.8875012602751152e-11,0
9.389043448660819e-08,0
6.74939179539578e-11,0
8.609549839467296e-11,0
1.8119537370793706e-10,1
2.699790400207991e-10,1
4.6258806141120644e-11,0
8.487628208489818e-11,1
1.5570431872151564e-10,0
4.2207900726084464e-11,0
1.2500200195743477e-10,0
1.064663862124559e-10,0
7.0826648817522e-11,0
3.872200353159907e-11,0
3.680682123895551e-11,1
4.019467071541591e-11,0
3.885089804974963e-11,0
2.681581551140225e-10,0
6.765326852915524e-11,0
2.7315607023891683e-09,0
3.140877987267742e-11,0
2.012163308531894e-11,0
9.007115983378677e-11,0
1.3698429287452488e-09,1
3.305073312503757e-11,0
4.388571389598321e-11,0
7.967582657036485e-11,1
1.9624366212711904e-10,1
8.53875067668944e-11,1
2.888505288963268e-11,0
6.902151338355504e-11,1
8.580763149900617e-11,1
7.692340608142719e-11,1
1.95042635222362e-11,0
8.262061919726779e-11,1
5.04172253430987e-11,1
4.364960556771988e-11,1
3.033705411049308e-11,1
6.462365276112996e-11,0
1.2964048379888238e-10,0
1.7188910229792097e-11,0
6.366377272066127e-11,0
3.669209787842112e-11,0
2.043910991261439e-10,1
4.5804606498755164e-11,0
1.9088690078321596e-10,0
