h,Married
2.3152038303336066e-05,1
7.379306059252056e-05,0
2.7565596634473758e-05,0
3.073973814353429e-05,1
2.7087280169701214e-05,1
3.6767398740173525e-05,0
3.7769329405667535e-05,0
3.0536304121338844e-05,0
3.6674770354226856e-05,1
3.516251047671108e-05,0
3.583006386330877e-05,0
2.9849954877772994e-05,0
2.820769484184458e-05,0
3.6864754962984955e-05,0
2.3458172554042057e-05,0
2.9977351339661006e-05,0
3.1399939249235824e-05,0
3.187014187633207e-05,1
3.323357137689011e-05,1
3.3704749220043036e-05,0
3.4495808088813564e-05,0
3.3875417898034804e-05,1
3.450281433976345e-05,0
2.924813718100143e-05,1
3.471689701291513e-05,0
3.026691249146955e-05,0
2.2011513601079475e-05,0
3.562978175078309e-05,0
2.879853539503296e-05,1
3.728942467781472e-05,0
3.232025573327e-05,0
3.216326080700996e-05,0
3.218510666527497e-05,0
4.308243514662175e-05,1
2.7567012534482887e-05,1
2.511656659191059e-05,0
2.2596460597293547e-05,1
3.849833660068859e-05,0
3.6874757014346465e-05,0
2.3232241377432612e-05,0
1.947611193232613e-05,0
2.7970704397709688e-05,0
2.868169246783213e-05,0
3.349562076752158e-05,1
3.35160684194667e-05,0
3.335338494406356e-05,0
3.387253786483215e-05,0
3.7955093661072826e-05,0
4.4345815027393614e-05,0
2.8516104247672793e-05,0
3.2836909300942826e-05,0
3.0245187467454787e-05,0
3.3166105469925674e-05,1
3.972994896855232e-05,0
2.7821273212761575e-05,0
2.601895662263251e-05,1
2.3159516898199746e-05,1
3.451846627410966e-05,1
2.3598074275112e-05,0
3.1997760225897545e-05,1
4.754822810432682e-05,1
2.9126748131468748e-05,1
2.7042161635355277e-05,0
3.099647217936902e-05,1
2.7023336226573495e-05,1
2.422542845389942e-05,1
3.109127613041754e-05,1
2.6425346884458676e-05,0
2.9298090693274196e-05,0
2.9618135055270732e-05,0
2.5150887684724265e-05,0
2.8897384786727605e-05,0
2.3656520355365315e-05,1
3.205410322432538e-05,0
3.0227835417102487e-05,0
3.333776095982666e-05,0
2.8468079973732016e-05,0
3.1524502854852415e-05,1
2.671326232066538e-05,0
3.274192031432791e-05,0
3.0084299220080827e-05,0
3.612395506862567e-05,0
2.919244214213449e-05,0
2.566992583654943e-05,1
2.616247373277098e-05,0
2.4654760333936956e-05,0
2.353288205274461e-05,1
2.84576028268349e-05,0
3.9086805693997994e-05,1
3.0855590338182244e-05,0
2.349577801343027e-05,1
3.144875992666326e-05,0
6.488379976697198e-05,0
2.5895131677872547e-05,1
2.0120171177194364e-05,0
3.2511135945983136e-05,0
3.219404994769064e-05,1
2.7128576878418165e-05,0
2.8009978668524404e-05,1
2.701304452178349e-05,1
3.078372233245284e-05,0
2.6945793007271774e-05,0
3.008046803898424e-05,1
3.915905578311049e-05,0
3.2069155799499625e-05,0
3.495652175038832e-05,0
3.538569812486005e-05,1
2.7861130311606954e-05,0
3.3006114948381165e-05,0
3.339809608180376e-05,1
5.693250604126763e-05,1
3.2856658248479255e-05,1
3.232952374556228e-05,1
2.8630953165967794e-05,0
2.4851434619500887e-05,0
2.8694920615691068e-05,0
3.097553092414844e-05,0
2.698312539217785e-05,0
2.28679851093673e-05,1
3.556507480977591e-05,0
4.222356643624704e-05,0
3.3382381983464255e-05,1
3.362125847093151e-05,1
2.776889290589903e-05,1
4.261283528438487e-05,0
2.4492850891870413e-05,0
3.5188930947221976e-05,0
3.4975916091328206e-05,1
3.1231040495294e-05,1
2.7506943418766188e-05,1
2.9748144030865035e-05,0
4.683075735113689e-05,0
2.779203996848298e-05,1
3.7849001598937504e-05,1
3.1189113928416765e-05,0
3.7235364219702045e-05,1
3.888597031054194e-05,0
2.426308489599815e-05,1
3.5764813716225143e-05,1
3.27346442124487e-05,0
3.34675816100184e-05,0
3.096718769413748e-05,0
3.4929065624126566e-05,0
2.9000507216338314e-05,0
3.121553699518948e-05,0
2.099183309143401e-05,0
3.384795468151426e-05,0
3.3333333333333335e-05,0
2.693240353649058e-05,1
3.5527475460614565e-05,1
2.6254111682893886e-05,1
3.6817790182350484e-05,0
3.0380616796401108e-05,0
3.461758769256825e-05,1
2.415853018940206e-05,0
2.971443035801575e-05,1
4.210283790253175e-05,0
3.7172842821591946e-05,0
2.9866700985388776e-05,1
2.9539568930773786e-05,1
2.958199621884914e-05,0
2.9879219160771348e-05,0
2.542352942470099e-05,1
3.15860465542563e-05,1
3.131404463630276e-05,1
2.4903062506918744e-05,0
3.2578358983105156e-05,0
3.3879818753377297e-05,1
3.0054805844276867e-05,1
3.0000154728118675e-05,0
3.455120689439535e-05,0
3.138174961861368e-05,0
3.1781310399833155e-05,0
2.0722016453150504e-05,0
3.358835262256608e-05,0
3.227315916791251e-05,1
3.332527899556296e-05,0
2.853620425422146e-05,0
3.085055104719763e-05,0
2.612759606742261e-05,1
3.0987961539336515e-05,0
3.25425743861134e-05,0
3.308601141886675e-05,1
3.075537855493278e-05,1
2.8750367623419107e-05,0
2.7715797227082305e-05,1
1.9057971609247394e-05,0
3.332664961548778e-05,0
2.331004167532965e-05,1
3.1118878217018126e-05,0
2.677774729820644e-05,0
2.9173090490709225e-05,0
3.205460257673093e-05,0
2.3830723653846367e-05,0
3.7193631655254314e-05,1
3.153698566493795e-05,0
2.56372867735796e-05,1
3.25150109780961e-05,0
2.7061431330454498e-05,1
2.850988904686854e-05,0
3.198547368554321e-05,1
3.139465798199541e-05,0
5.3625171947428276e-05,0
3.333333333333337e-05,0
3.3617592466302865e-05,1
3.104438024094766e-05,1
3.476951373799405e-05,1
3.990824674781027e-05,1
3.414582064578771e-05,0
3.5335878737652935e-05,1
3.438495270778897e-05,0
2.8069740140599713e-05,1
3.555347085338462e-05,1
2.279532657078215e-05,0
2.6505838783280996e-05,0
