h,Married
0.0,1
0.595,0
0.4655,1
0.0,0
0.7635,1
0.39949999999999997,1
0.937,0
0.897,0
0.28900000000000003,0
0.30599999999999994,0
0.0,0
0.32099999999999995,1
0.698,0
0.373,1
0.249,0
0.7725,1
0.786,1
0.0,0
0.2955,0
0.0,0
0.25749999999999995,0
0.502,1
0.6014999999999999,0
0.5065,0
0.46199999999999997,1
0.0,1
0.9319999999999999,0
0.0,1
0.27649999999999997,0
0.0,0
0.821,1
0.0,0
0.647,0
0.254,0
0.2865,0
0.7905,1
0.8180000000000001,1
0.7065,0
0.0,1
0.7835,1
0.3175,1
0.271,0
0.25249999999999995,0
0.7484999999999999,1
0.0,1
0.0,0
0.7969999999999999,1
0.767,1
0.6114999999999999,0
0.40349999999999997,1
0.39049999999999996,1
0.52,0
0.5509999999999999,0
0.2835,0
0.8995,0
0.47,1
0.653,0
0.0,1
0.403,1
0.5389999999999999,0
0.399,1
0.5865,0
0.45299999999999996,1
0.0,1
0.593,0
0.4605,1
0.644,0
0.0,1
0.617,0
0.0,1
0.0,1
0.778,1
0.7545,1
0.983,0
0.32199999999999995,1
0.9195,0
0.4505,1
0.7755,1
0.4625,1
0.7505,1
0.0,0
0.0,1
0.836,1
0.4385,1
0.35350000000000004,1
0.0,1
0.8505,1
0.396,1
0.5195000000000001,0
0.0,0
0.0,1
0.901,0
0.354,1
0.6799999999999999,0
0.935,0
0.831,1
0.679,0
0.5965,0
0.0,0
0.0,0
0.4065,1
0.0,0
0.734,1
0.0,1
0.581,0
0.0,0
0.0,0
0.4495,1
0.35850000000000004,1
0.5055000000000001,0
0.5229999999999999,0
0.6305000000000001,0
0.29699999999999993,0
0.6890000000000001,0
0.9605,0
0.764,1
0.7965,1
0.5905,0
0.0,1
0.8915,0
0.4135,1
0.6425000000000001,0
0.7855,1
0.349,1
0.5655,0
0.6885,0
0.63,0
0.28400000000000003,0
0.7105,0
0.9365,0
0.623,0
0.8495,1
0.984,0
0.5325,0
0.4395,1
0.0,1
0.602,0
0.6910000000000001,0
0.9325,0
0.33799999999999997,1
0.45899999999999996,1
0.8069999999999999,1
0.621,0
0.635,0
0.517,0
0.3005,0
0.5800000000000001,0
0.8885,0
0.519,0
0.5795,0
0.9185,0
0.5345,0
0.0,0
0.544,0
0.0,1
0.5255,0
0.3105,1
0.0,1
0.0,0
0.35750000000000004,1
0.756,1
0.624,0
0.6655,0
0.538,0
0.785,1
0.248,0
0.0,1
0.49249999999999994,1
0.804,1
0.0,1
0.7464999999999999,1
0.0,1
0.6955,0
0.4235,1
0.9375,0
0.0,0
0.874,0
0.777,1
0.9645,0
0.0,1
0.915,0
0.44999999999999996,1
0.9235,0
0.361,1
0.5760000000000001,0
0.796,1
0.0,1
0.965,0
0.0,0
0.9405,0
0.9975,1
0.47150000000000003,1
0.0,1
0.7335,1
0.6699999999999999,0
0.54,0
0.272,0
0.8335,1
0.0,1
0.9565,0
0.4415,1
0.6855,0
0.949,0
0.0,1
0.761,1
0.0,1
0.0,0
0.0,1
0.4475,1
0.44199999999999995,1
0.5565,0
0.913,0
0.8835,0
0.37249999999999994,1
0.9245,0
0.37649999999999995,1
0.5595,0
0.245,0
0.7070000000000001,0
0.5115000000000001,0
0.0,0
0.4205,1
0.0,0
0.9455,0
0.8185,1
0.0,1
0.0,1
0.8140000000000001,1
0.38049999999999995,1
0.717,0
0.472,1
0.868,0
0.477,1
0.491,1
0.751,1
0.47550000000000003,1
0.916,0
0.7595000000000001,1
0.28500000000000003,0
0.638,0
0.398,1
0.832,1
0.28300000000000003,0
0.7895,1
0.6265000000000001,0
0.46950000000000003,1
0.24249999999999994,0
0.0,0
0.48450000000000004,1
0.758,1
0.32399999999999995,1
0.6599999999999999,0
0.29300000000000004,0
0.27549999999999997,0
0.978,0
0.22950000000000004,0
0.8295,1
0.792,1
0.4265,1
0.2945,0
0.7875,1
0.5085,0
0.0,1
0.506,0
0.499,1
0.0,1
0.26849999999999996,0
0.23549999999999993,0
0.681,0
0.8345,1
0.488,1
0.0,1
0.6579999999999999,0
0.0,0
0.0,1
0.45599999999999996,1
0.4,1
0.9885,0
0.5135000000000001,0
0.0,0
0.0,1
0.7184999999999999,0
0.75,1
0.6965,0
0.4405,1
0.39,1
0.0,0
0.6205,0
0.29799999999999993,0
0.0,1
0.0,1
0.0,0
0.5874999999999999,0
0.802,1
0.6375,0
0.77,1
0.41500000000000004,1
0.0,1
0.4105,1
0.44099999999999995,1
0.5015000000000001,1
0.0,0
0.9825,0
0.0,1
0.979,0
0.0,1
0.9425,0
0.0,0
0.3325,1
0.7005,0
