h,Married
0.46615714,1
0.8056171,0
0.83757335,1
0.48213267,0
0.8624549,1
0.80928296,1
0.8880944,0
0.862973,0
0.7309661,0
0.74470043,0
0.42549714,0
0.7598786,1
0.84054035,0
0.79578644,1
0.69414216,0
0.8654994,1
0.8759203,1
0.6208458,0
0.7374694,0
0.5879945,0
0.7039247,0
0.8498974,1
0.80910695,0
0.75225234,0
0.8357949,1
0.5755322,1
0.88459873,0
0.58083314,1
0.7217497,0
0.6584345,0
0.9032588,1
0.65755635,0
0.82647884,0
0.6991073,0
0.72990704,0
0.8792139,1
0.9012204,1
0.8427334,0
0.5942027,1
0.87460196,1
0.75482523,1
0.7176421,0
0.697431,0
0.8559107,1
0.667172,1
0.3833283,0
0.8835126,1
0.8634775,1
0.8127157,0
0.81077695,1
0.80486745,1
0.7647823,0
0.7829858,0
0.72672105,0
0.8638148,0
0.8390551,1
0.8290113,0
0.37163773,1
0.8107532,1
0.77727705,0
0.8087299,1
0.80144256,0
0.8312316,1
0.6578354,1
0.8047021,0
0.83454144,1
0.82563967,0
0.69294983,1
0.8158258,0
0.69983107,1
0.6779117,1
0.86973286,1
0.85862446,1
0.9214163,0
0.7613778,1
0.8782633,0
0.8298996,1
0.86832273,1
0.8358934,1
0.85705215,1
0.1842552,0
0.6315885,1
0.9104507,1
0.8262659,1
0.782745,1
0.36593276,1
0.9276144,1
0.8069574,1
0.7639038,0
0.43039864,0
0.50719374,1
0.8650678,0
0.782842,1
0.83529615,0
0.8863471,0
0.90804267,1
0.835248,0
0.8061201,0
0.58489585,0
0.5156694,0
0.8138804,1
0.432927,0
0.85032886,1
0.5303088,1
0.7988449,0
0.63370585,0
0.58698505,0
0.8296479,1
0.78645,1
0.751888,0
0.7660056,0
0.8220379,0
0.73900855,0
0.83839154,0
0.9027965,0
0.86271363,1
0.88249135,1
0.8034612,0
0.7415314,1
0.8603098,0
0.8166731,1
0.82522506,0
0.87579113,1
0.78104687,1
0.7918786,0
0.8383155,0
0.82176596,0
0.7268711,0
0.8440813,0
0.8875699,0
0.8188643,0
0.9271608,1
0.92261547,0
0.7754778,0
0.82652,1
0.6304322,1
0.8093263,0
0.838906,0
0.88492215,0
0.77331924,1
0.8340129,1
0.89264715,1
0.8182204,0
0.8229791,0
0.76159644,0
0.7415941,0
0.7982055,0
0.85961604,0
0.76347625,0
0.7979985,0
0.8777789,0
0.7761822,0
0.6591689,0
0.7800247,0
0.6506173,1
0.77021873,0
0.7502822,1
0.6867982,1
0.45188987,0
0.7860298,1
0.85912156,1
0.81924593,0
0.8323077,0
0.7765712,0
0.8757024,1
0.6939812,0
0.56170547,1
0.84624195,1
0.89091426,1
0.67501545,1
0.8554002,1
0.7263707,1
0.8401671,0
0.8226448,1
0.8883922,0
0.27534565,0
0.85535467,0
0.86916715,1
0.9057861,0
0.57330334,1
0.87331635,0
0.8297974,1
0.88091606,0
0.7879208,1
0.7952627,0
0.8824564,1
0.68235415,1
0.906259,0
0.66491884,0
0.8914305,0
0.9555688,1
0.8399023,1
0.7238321,1
0.8502749,1
0.833249,0
0.7777754,0
0.7181894,0
0.9098452,1
0.6985602,1
0.90128577,0
0.8271229,1
0.8373524,0
0.8977565,0
0.52775526,1
0.8620689,1
0.58409053,1
0.64626986,0
0.7091506,1
0.8287024,1
0.82712334,1
0.7863912,0
0.8713623,0
0.8585747,0
0.7950779,1
0.8812205,0
0.7966172,1
0.78833413,0
0.6894937,0
0.8428368,0
0.7587437,0
0.45624772,0
0.8201664,1
0.66851425,0
0.89613926,0
0.901403,1
0.70266986,1
0.7401876,1
0.8973826,1
0.7992998,1
0.8458059,0
0.84006244,1
0.8534675,0
0.84206504,1
0.84577465,1
0.85727173,1
0.84133434,1
0.874009,0
0.8611481,1
0.72876847,0
0.8238696,0
0.8079504,1
0.909085,1
0.72633785,0
0.87883097,1
0.819966,0
0.8389468,1
0.68872947,0
0.44229788,0
0.84359854,1
0.8607645,1
0.76292974,1
0.8309285,0
0.7355491,0
0.7214443,0
0.91772485,0
0.6740492,0
0.90718937,1
0.8799843,1
0.82344025,1
0.7373577,0
0.87730795,1
0.75487906,0
0.73902476,1
0.75191116,0
0.8482282,1
0.7305709,1
0.7142154,0
0.6783373,0
0.83577776,0
0.91009444,1
0.84509444,1
0.6791959,1
0.8299071,0
0.665707,0
0.6886387,1
0.83181274,1
0.8092844,1
0.9266516,0
0.7591245,0
0.6537383,0
0.73231614,1
0.845891,0
0.8564533,1
0.84028435,0
0.8268534,1
0.8045962,1
0.5259937,0
0.81776947,0
0.7391069,0
0.42795825,1
0.74686456,1
0.42894202,0
0.8018808,0
0.889178,1
0.82377356,0
0.8641464,1
0.8181325,1
0.6349565,1
0.8157141,1
0.8270245,1
0.8497137,1
0.5651088,0
0.92088574,0
0.73731303,1
0.91800505,0
0.6302491,1
0.8926558,0
0.60749954,0
0.7689936,1
0.8407983,0
0.45499566,0
0.8429833,1
0.90205973,0
0.8840471,0
0.6905786,1
0.6452406,0
0.78020614,1
0.9096577,0
0.7994186,0
0.7793689,1
0.8254674,1
0.7873625,0
0.8548715,0
0.91452664,0
0.8478302,1
0.8862458,1
0.6544556,1
0.78199416,0
0.4384844,0
0.830221,0
0.9519707,1
0.8410381,1
0.6695392,0
0.66484946,0
0.7147311,0
0.63963217,1
0.82078624,0
0.8631724,1
0.6987594,1
0.7811773,1
0.9034347,0
0.6186769,0
0.82527155,0
0.86302865,1
0.82874775,0
0.8099825,0
0.8969968,0
0.7392011,1
0.8130629,0
0.77343,0
0.40875342,0
0.7002527,0
0.95268935,0
0.833794,0
0.80480933,0
0.84462655,0
0.9198134,0
0.8366886,0
0.8078698,1
0.80231076,1
0.78745705,0
0.8568004,0
0.8606831,1
0.758802,0
0.8096072,0
0.90267116,0
0.8658903,0
0.9206492,0
0.7885828,1
0.55661476,0
0.8532429,1
0.8105247,1
0.83021295,1
0.9230975,0
0.646764,1
0.6392353,1
0.8056698,0
0.7247208,0
0.809389,0
0.710558,1
0.7584479,1
0.6797714,0
0.8116875,0
0.8231368,0
0.8470477,1
0.7300305,0
0.29109633,0
0.84389746,0
0.79461974,0
0.5574197,1
0.90049654,0
0.72024363,0
0.78384817,0
0.8242543,0
0.8551239,1
0.7104832,1
0.7309603,0
0.73319435,0
0.80350274,1
0.78868085,0
0.83473593,1
0.83797824,1
0.83221656,0
0.834327,0
0.8466235,0
0.80576146,1
0.78128654,0
0.86614925,0
0.82322824,1
0.6773987,0
0.7945084,0
0.81534725,1
0.7423264,0
0.8287479,0
0.768019,1
0.7951232,0
0.77310187,1
0.6400475,1
0.6330911,1
0.8035831,1
0.0366976,0
0.79556125,0
0.7789535,0
0.7993524,1
0.866107,0
0.842385,1
0.8446389,1
0.8489493,0
0.7850549,0
0.8320845,0
0.70824814,0
0.9172636,0
0.71563745,1
0.74767685,1
0.6595999,0
0.7810519,1
0.5796143,1
0.895695,0
0.83297175,0
0.90886325,1
0.89285743,1
0.85919505,0
0.87129736,1
0.9165656,1
0.69245344,1
0.8332747,0
0.7423375,0
0.8999634,1
0.7940505,1
0.6744629,1
0.818555,1
0.73633784,0
0.6435684,0
0.7318687,1
0.9105366,1
0.82859224,1
0.506673,0
0.79896593,1
0.76517224,1
0.89705163,0
0.70781285,1
0.9079729,1
0.88198215,0
0.47497436,1
0.75578886,1
0.602235,0
0.7329604,0
0.74142355,1
0.5786132,1
0.7979672,1
0.69287276,0
0.8007049,0
0.7902872,1
0.58856547,0
0.76702577,1
0.7882868,1
0.79059535,0
0.6150107,0
0.8791547,0
0.9284019,1
0.85583913,0
0.90627986,0
0.8537981,1
0.7860849,1
0.733992,1
0.36202583,1
0.8116863,1
0.6089616,1
0.612437,1
0.8840592,0
0.47348097,0
0.79296595,0
0.80698603,0
0.8495504,0
0.86042345,0
0.8343621,1
0.7742069,1
0.80717343,1
0.6959094,0
0.77333355,0
0.8951283,0
0.82447636,0
0.79148144,1
0.81082004,0
0.7012878,0
0.9538781,1
0.79502827,1
0.89961475,0
0.7209535,0
0.53197694,0
0.83438075,1
0.836024,1
0.8573125,0
0.89796233,1
0.8266214,0
0.57692736,1
0.8030916,1
0.85885817,0
0.8831857,0
0.7932051,0
0.8516236,0
0.7858815,1
0.9059983,1
0.5361035,0
0.8439917,0
0.5393757,0
0.868644,1
0.86164606,0
0.91095805,1
0.82872194,1
0.75083435,0
0.79337925,0
0.8745977,1
0.79224414,0
0.7995511,0
0.7545721,1
0.71179,0
0.86608034,0
0.85849607,0
0.48712158,0
0.7250037,0
0.8769178,0
0.8065187,0
0.7542932,1
0.5612419,1
0.83923626,1
0.61570364,0
0.8524591,0
0.620629,0
0.8351258,0
0.8274733,1
0.8316152,1
0.6734361,1
0.77161145,0
0.84684354,1
0.917948,0
0.5812279,0
0.66592956,0
0.8921551,0
0.8428003,1
0.71782464,0
0.7124486,1
0.9279382,1
0.63126945,1
0.8455446,1
0.86995715,1
0.5678364,1
0.6524257,1
0.8403414,0
0.666317,1
0.6941957,1
0.8917587,1
0.7135109,1
0.6221973,0
0.93090194,0
0.8460516,0
0.7840063,1
0.74444443,1
0.87210274,1
0.89958555,0
0.84906065,1
0.69267476,1
0.8377651,1
0.8587743,0
0.8250009,1
0.6897056,0
0.8546508,0
0.92709285,1
0.7759136,0
0.8058011,0
0.8527679,1
0.7458373,1
0.63499975,0
0.6269093,0
0.85798264,1
0.82997006,1
0.64784807,0
0.57876396,1
0.8367234,1
0.85887223,1
0.7750447,0
0.88593113,0
0.630345,0
0.76323575,0
0.90982693,0
0.74549913,0
0.90969115,0
0.70934093,0
0.861444,1
0.9349455,0
0.8311261,0
0.80680424,0
0.8693611,0
0.7125477,0
0.8856007,1
0.8502405,0
0.6229494,1
0.9108123,1
0.89333016,1
0.5790394,0
0.8711618,0
0.82347846,0
0.8225381,0
0.60388327,1
0.68051267,0
0.8265434,0
0.8986954,0
0.86142004,0
0.41271508,0
0.7867265,1
0.84228975,0
0.8318423,1
0.8552064,0
0.8504487,1
0.9067688,0
0.84259933,1
0.93688536,1
0.76079744,1
0.7826191,0
0.86680126,1
0.8408374,1
0.6847265,1
0.8628889,0
0.8517345,1
0.6674887,1
0.7803165,0
0.6521732,0
0.9005269,0
0.59967077,0
0.8895569,1
0.83917516,0
