h,gender
5.1011314155050976e-11,0
3.2033822795503874e-11,1
4.030381929300834e-11,0
3.0693525355609985e-11,1
1.3917082399079465e-10,0
4.89030047155739e-11,0
4.795012216943659e-11,0
4.998920522063157e-11,0
0.014975456124004837,0
4.55194294446518e-11,0
3.4953909920178494e-11,0
4.232278045815544e-11,1
3.120310671807988e-10,1
6.268438234231211e-11,0
3.426384973169624e-11,1
1.8454901863784418e-11,1
3.492010102234324e-11,0
4.745960947754525e-11,0
6.475509111452329e-11,0
3.0515897350524854e-10,0
3.4347291204653915e-11,1
3.356159854980527e-11,0
1.8454901863784418e-11,1
4.6138285577191846e-11,1
3.3140424203063826e-11,1
3.097824052554364e-11,0
3.1381187817976005e-11,0
3.407253900550654e-11,1
2.751041867261961e-11,0
3.832159254301253e-11,1
2.7748351236039412e-11,0
3.3592194745311766e-11,0
9.840405016898425e-11,0
3.335025985025405e-11,0
8.89947655455833e-06,0
4.484889136493751e-10,0
2.7528086993882907e-11,0
4.4625300282821026e-11,1
3.510701150840926e-11,0
5.282687302518641e-11,0
3.001829105618184e-10,0
2.9902722946358297e-11,1
7.663515147176489e-11,1
5.542360647407438e-10,0
3.496354703212388e-11,0
4.1356037479957094e-11,1
4.0979140823965353e-11,0
2.53666841267903e-11,0
2.6369712932934168e-11,0
3.2386589410045714e-11,0
3.9532835178271865e-11,1
4.3854557582974455e-11,1
5.9118478906791996e-09,0
2.830584888146618e-11,0
2.5516649839699897e-10,0
7.526697291408985e-11,0
3.2886081112508747e-11,0
3.1624214896393463e-11,1
4.5709698675937316e-11,1
5.5726342963140515e-11,0
5.153186788772168e-11,0
4.110933428218696e-11,0
4.9810699967481905e-11,0
3.1210347812648194e-11,1
2.7486004505709366e-11,0
4.658636538577734e-11,0
2.3586416002578257e-10,0
7.317734210501353e-11,0
2.7135508382067766e-11,0
2.7763968556275255e-11,1
2.839865193414024e-11,0
3.726217366074518e-11,1
5.860486645883348e-11,0
3.8074902888810043e-11,0
1.506089225217035e-10,0
3.6767379162495384e-11,0
3.0605902005921693e-11,1
3.064512739353737e-11,0
2.8430526845751543e-11,1
5.535207501924256e-11,0
1.797902120608563e-10,0
2.6068900002586896e-11,0
3.368362981406413e-11,0
5.511793229244105e-11,0
3.051973531370549e-11,0
5.0832192737718405e-11,0
3.0621057811663586e-11,1
3.095906847454561e-11,1
3.841195955301238e-11,0
2.613233754106946e-11,0
2.4884878409059816e-11,0
3.790830171962201e-11,0
5.197610519995451e-11,0
5.014735836334221e-11,1
3.9553446373306966e-11,0
3.0873978908989164e-11,0
5.7981684615550556e-11,0
3.865774218908496e-11,1
4.831685028972457e-11,1
2.7856260039394807e-11,0
2.7415185610068986e-11,0
2.769502685239635e-11,0
2.8776741840071187e-11,0
3.205221144982612e-11,1
2.9319074783839e-11,1
6.197986685375895e-11,1
2.5990714935420205e-11,1
3.926415460562158e-11,0
3.623835494788765e-11,1
2.7482230819084e-11,0
2.8951127092766298e-11,0
4.375303402626696e-11,0
3.558471824042586e-11,0
4.9666977112331064e-11,1
2.7674734745000098e-11,0
2.7340196552671885e-11,0
9.146400760995679e-11,1
6.220588012890996e-11,0
4.1595006210882533e-11,0
5.094292273568343e-11,0
5.3098812824639076e-11,0
3.204934151086896e-11,1
4.6410344833143877e-11,1
5.1160783773172123e-11,0
3.786461223362078e-11,0
5.869243355737607e-11,0
2.913965801570403e-11,0
5.5637432661392614e-11,1
3.064914818005103e-11,1
9.807713476596369e-11,0
2.9327576081775476e-11,0
2.3753737519043563e-11,0
3.7898531292895645e-11,1
2.8716150010946132e-11,0
9.095020812173621e-11,0
2.8653736182024016e-11,0
3.913533867882505e-11,0
2.477903704873425e-10,0
3.059116507486855e-11,1
5.1233104221691605e-11,0
3.200409117088439e-11,0
5.268505883231404e-11,1
2.8212176645115175e-11,0
4.809551582026637e-11,1
3.025436842254959e-11,1
