h,gender
0.964012,0
0.9649976,1
0.96439415,0
0.96508527,1
0.9631487,0
0.96457857,0
0.964368,0
0.9644305,0
0.9630859,0
0.96499944,0
0.96430355,0
0.96471524,1
0.963086,1
0.96368456,0
0.9650844,1
0.96508527,1
0.96507984,0
0.96361107,0
0.9637101,0
0.9634116,0
0.9647719,1
0.964887,0
0.96508527,1
0.9645475,1
0.96496826,1
0.9647673,0
0.96459013,0
0.96508515,1
0.9650364,0
0.96439505,1
0.9650612,0
0.96452576,0
0.9637623,0
0.96456385,0
0.96319115,0
0.9633762,0
0.9650692,0
0.9645054,1
0.96415704,0
0.9635609,0
0.96337324,0
0.96506816,1
0.963733,1
0.9631309,0
0.96405566,0
0.9649435,1
0.96442574,0
0.96508,0
0.96502465,0
0.96507674,0
0.96413434,1
0.96367437,1
0.9631747,0
0.9649828,0
0.96308655,0
0.96324444,0
0.96450174,0
0.9649935,1
0.96453875,1
0.9643311,0
0.96383625,0
0.9648891,0
0.9644711,0
0.96482164,1
0.9650724,0
0.963131,0
0.9635663,0
0.9634455,0
0.9650719,0
0.96504474,1
0.96495324,0
0.9645256,1
0.9632974,0
0.96458745,0
0.96350765,0
0.96476483,0
0.9650016,1
0.96508527,0
0.9650495,1
0.963915,0
0.96410584,0
0.9650061,0
0.9643274,0
0.96332985,0
0.96484005,0
0.96414065,0
0.9650536,1
0.9649644,1
0.96467996,0
0.96500975,0
0.96499646,0
0.964996,0
0.96414334,0
0.9646913,1
0.9642967,0
0.96507794,0
0.9640203,0
0.964302,1
0.96440935,1
0.96507937,0
0.96508527,0
0.96503544,0
0.96503985,0
0.96504706,1
0.964872,1
0.9648597,1
0.96508527,1
0.9637462,0
0.9646175,1
0.9648424,0
0.96486115,0
0.9644859,0
0.96507615,0
0.9647747,1
0.96499944,0
0.9649275,0
0.96435356,1
0.963839,0
0.9645471,0
0.96426976,0
0.9635894,0
0.9650169,1
0.96462995,1
0.9640892,0
0.9646899,0
0.9636709,0
0.9650764,0
0.9650322,1
0.96508473,1
0.96372265,0
0.96503955,0
0.9650849,0
0.9644408,1
0.9650652,0
0.9631677,0
0.96508527,0
0.964657,0
0.9632369,0
0.965085,1
0.964733,0
0.9649867,0
0.9645768,1
0.9650443,0
0.9646295,1
0.96502787,1
0.96498144,1
0.96502763,0
0.96507573,0
0.9642669,1
0.9645455,0
0.9633583,0
0.96508527,1
0.9646295,1
0.96350545,0
0.9635516,0
0.96508527,0
0.9648152,0
0.96488,0
0.9647647,0
0.9638676,0
0.96508527,1
0.96503955,1
0.96508527,0
0.96508515,0
0.9646338,0
0.9633893,1
0.96420807,0
0.9648206,0
0.96495813,1
0.9639435,0
0.96508527,1
0.9645067,0
0.96402556,1
0.9649514,0
0.9648604,1
0.9642068,0
0.9650808,0
0.96501434,0
0.96508515,0
0.9631909,0
0.9648775,0
0.9634323,0
0.9644452,1
0.96502,0
0.96493286,0
0.96447086,1
0.96403515,0
0.9645455,0
0.9648005,0
0.9648873,0
0.9650451,0
0.96488947,0
0.9649128,0
0.9650808,0
0.96508396,0
0.9650514,0
0.96501875,0
0.96505606,0
